Player,Team,Position,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Tackles per 90,Tackle Success Rate (%),Chances Created,Chances Created per 90,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Big Chances Missed,Clearances per 90,Total Clearances,Expected Goals (xG),Actual Goals,Fouls Committed per 90,Interceptions per 90,Total Interceptions,Penalties Conceded,Clean Sheets,Goals Conceded,Expected Assists (xA),Actual Assists,Expected Goals on Target (xGOT),Goals Conceded per 90,Shots on Target per 90,Shot Accuracy (%),Penalties Won,Fouls Won per 90,Red Cards,Secondary Assists,Shots per 90,Shot Conversion Rate (%),Accurate Passes per 90,Pass Success (%),Penalties,Yellow Cards,Successful Dribbles per 90,Dribble Success Rate (%),Expected Assists per 90,Actual Assists per 90,Expected Goals per 90,Goals per 90,Blocks per 90,Total Blocks,FotMob Rating,Player of the Match Awards,Saves per 90,Total Saves,Country
alessandro bastoni,Inter,D,0.3,2.0,1.3,71.7,23.0,0.9,5.6,64.4,2283.0,28.0,1.0,1.7,43.0,1.2,1.0,1.2,0.9,23.0,,,,3.1,3.0,1.3,,0.2,40.0,,,,3.1,0.6,6.7,63.0,89.8,0.0,5.0,0.4,55.6,0.12,0.1,0.05,0.04,0.4,11.0,7.38,0.0,,,ITA
alessandro berardi,Verona,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alessandro buongiorno,Torino,D,0.1,2.2,1.4,55.7,4.0,0.1,1.2,37.4,2530.0,29.0,1.0,4.6,130.0,1.6,3.0,2.5,2.5,69.0,1.0,,,0.4,0.0,2.5,,0.2,46.2,1.0,1.4,,,0.5,23.1,35.9,85.4,0.0,7.0,,,0.02,0.0,0.06,0.11,0.4,12.0,7.25,2.0,,,ITA
alessandro deiola,Cagliari,C,0.4,2.2,1.1,57.6,10.0,0.6,2.1,43.5,1608.0,27.0,6.0,1.9,34.0,2.5,1.0,1.4,0.5,9.0,,,,0.5,0.0,1.8,,0.3,24.0,,,,,1.4,4.0,20.0,71.4,0.0,7.0,0.3,62.5,0.03,0.0,0.14,0.06,0.3,6.0,6.53,1.0,,,ITA
alessandro dellavalle,Torino,D,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
alessandro di pardo,Cagliari,D,,,,,5.0,1.3,,,,,,,,0.1,0.0,,,,2.0,,,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
alessandro florenzi,AC Milan,D,0.3,2.0,1.1,48.8,45.0,2.3,4.0,55.0,1730.0,31.0,,1.0,19.0,1.7,1.0,0.6,1.0,20.0,,,,3.5,4.0,2.7,,0.5,31.3,,,,3.5,1.7,3.1,47.7,87.5,0.0,5.0,0.1,8.3,0.18,0.2,0.09,0.05,0.5,9.0,7.02,2.0,,,ITA
alessandro sodero,Empoli,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alessandro sorentino,Monza,P,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
alessandro vogliacco,Genoa,D,0.1,1.4,1.2,65.2,13.0,1.0,2.7,36.5,1171.0,20.0,,2.9,38.0,0.4,0.0,1.0,2.3,30.0,,,,0.5,1.0,,,,,1.0,0.3,,0.5,0.4,0.0,35.4,79.7,,4.0,0.2,50.0,0.04,0.1,0.03,0.0,0.8,10.0,,,,,ITA
alessandro zanoli,Salernitana,D,0.1,1.2,1.3,82.4,12.0,1.1,1.1,37.5,969.0,21.0,,1.2,13.0,0.2,0.0,0.7,0.2,2.0,,,,0.9,2.0,0.1,,0.1,33.3,,,,0.9,0.3,0.0,26.8,79.4,,4.0,0.6,24.0,0.08,0.2,0.02,0.0,0.2,2.0,,,,,ITA
alessio cragno,Sassuolo,P,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
alessio furlanetto,Lazio,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alessio romagnoli,Lazio,D,,,0.7,72.0,6.0,0.2,1.8,42.1,2409.0,29.0,1.0,4.1,110.0,0.9,0.0,1.3,1.1,29.0,,,,0.6,0.0,0.8,,0.2,45.5,,,,,0.4,0.0,59.8,91.5,,9.0,,,0.02,0.0,0.04,0.0,0.6,17.0,6.92,0.0,,,ITA
alessio zerbin,Monza,A,0.2,2.3,1.3,52.2,16.0,1.7,2.0,64.3,829.0,20.0,1.0,0.4,4.0,0.9,0.0,2.7,0.3,3.0,,,,1.5,1.0,0.6,,0.3,33.3,,,1.0,1.5,1.0,0.0,24.5,82.5,,,1.6,46.9,0.16,0.1,0.09,0.0,0.3,3.0,,,,,ITA
alex meret,Napoli,P,,,,,1.0,0.0,,,,,,0.7,23.0,,,,,,,5.0,40.0,0.0,0.0,,1.3,,,,,,,,,21.1,82.3,,,0.0,100.0,0.0,0.0,,,,,6.49,1.0,2.1,64.0,ITA
alex sandro,Juventus,D,,,,,5.0,0.6,,,,,,,,0.4,1.0,,,,,,,0.7,0.0,0.5,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,BRA
alexandru borbei,Lecce,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis blin,Lecce,C,0.3,3.5,1.0,57.6,7.0,0.4,1.8,54.2,1632.0,31.0,3.0,2.1,38.0,1.1,0.0,1.4,1.2,22.0,1.0,,,0.7,2.0,0.5,,0.1,15.4,,,,0.7,0.7,0.0,36.5,87.5,,4.0,0.3,50.0,0.04,0.1,0.06,0.0,0.1,2.0,6.55,0.0,,,FRA
alexis saelemaekers,Bologna,A,0.7,2.2,1.0,68.8,44.0,2.1,1.8,77.1,1892.0,30.0,3.0,0.4,9.0,2.7,4.0,0.8,0.6,13.0,,,,3.5,2.0,2.9,,0.5,34.5,1.0,2.8,1.0,3.5,1.4,13.8,35.6,83.1,0.0,5.0,1.9,40.8,0.17,0.1,0.13,0.19,0.0,1.0,7.14,3.0,,,BEL
alexis sanchez,Inter,A,1.0,1.6,0.7,85.7,18.0,2.2,3.4,84.8,751.0,23.0,1.0,0.2,2.0,3.2,2.0,1.7,0.1,1.0,,,,2.8,5.0,2.6,,0.7,33.3,,,,2.8,2.2,11.1,32.5,80.9,1.0,,1.4,60.0,0.34,0.6,0.39,0.24,0.1,1.0,,,,,CHI
alfred duncan,Fiorentina,C,0.8,3.2,1.0,62.9,36.0,1.7,3.6,58.1,1893.0,30.0,2.0,0.6,13.0,1.5,2.0,1.2,0.5,11.0,,,,2.8,5.0,2.1,,0.3,26.1,,,,2.8,1.1,8.7,36.8,81.1,0.0,2.0,1.0,55.6,0.13,0.2,0.07,0.1,0.2,5.0,7.07,0.0,,,GHA
alphadjo cisse,Verona,A,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
amir rrahmani,Napoli,D,0.1,2.3,0.9,81.8,14.0,0.5,6.1,61.3,2602.0,30.0,4.0,2.9,85.0,2.3,3.0,0.7,0.7,20.0,1.0,,,0.7,0.0,2.8,,0.3,32.0,,,,,0.9,12.0,69.9,90.2,0.0,5.0,0.3,76.9,0.03,0.0,0.08,0.1,0.3,10.0,7.1,2.0,,,KVX
