Player,Team,Position,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Tackles per 90,Tackle Success Rate (%),Chances Created,Chances Created per 90,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Big Chances Missed,Clearances per 90,Total Clearances,Expected Goals (xG),Actual Goals,Fouls Committed per 90,Interceptions per 90,Total Interceptions,Penalties Conceded,Clean Sheets,Goals Conceded,Expected Assists (xA),Actual Assists,Expected Goals on Target (xGOT),Goals Conceded per 90,Shots on Target per 90,Shot Accuracy (%),Penalties Won,Fouls Won per 90,Red Cards,Secondary Assists,Shots per 90,Shot Conversion Rate (%),Accurate Passes per 90,Pass Success (%),Penalties,Yellow Cards,Successful Dribbles per 90,Dribble Success Rate (%),Expected Assists per 90,Actual Assists per 90,Expected Goals per 90,Goals per 90,Blocks per 90,Total Blocks,FotMob Rating,Player of the Match Awards,Saves per 90,Total Saves,Country
carlos augusto,Inter,D,0.4,1.3,1.1,72.4,19.0,1.0,1.8,63.6,1703.0,37.0,1.0,2.3,43.0,1.0,0.0,0.9,0.8,16.0,,,,2.1,3.0,0.4,,0.3,27.3,,,,2.1,1.2,0.0,44.2,87.5,,1.0,0.6,66.7,0.11,0.2,0.05,0.0,0.4,8.0,6.78,1.0,,,BRA
catalin vulturar,Lecce,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaka traore,AC Milan,A,,,,,,,,,,,,,,0.1,1.0,,,,,,,0.0,0.0,0.5,,,,,,,,,,,,0.0,,,,,,,,,,,,,,CIV
charalambos lykogiannis,Bologna,D,0.1,1.5,0.6,60.0,9.0,0.9,1.7,42.5,899.0,22.0,1.0,2.8,28.0,1.3,2.0,1.2,0.5,5.0,,,,0.9,1.0,1.2,,0.4,26.7,,,,0.9,1.5,13.3,36.8,82.0,0.0,2.0,0.2,28.6,0.09,0.1,0.13,0.2,0.5,5.0,,,,,GRE
charles de ketelaere,Atalanta,A,1.1,2.2,0.9,63.6,49.0,2.2,0.7,65.4,2042.0,35.0,4.0,0.2,5.0,7.3,10.0,0.7,0.3,7.0,,,,4.1,8.0,7.6,,1.1,55.6,,,,4.1,2.0,22.2,24.2,75.6,1.0,1.0,1.8,53.3,0.18,0.4,0.32,0.44,0.1,2.0,7.12,3.0,,,BEL
charlys,Verona,C,,,,,2.0,7.5,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,BRA
chris smalling,Roma,D,,,,,1.0,0.2,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,ENG
christian corradi,Verona,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christian dalle mura,Fiorentina,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christian kabasele,Udinese,D,,,,,2.0,0.2,,,,,1.0,,,1.2,1.0,,,,2.0,,,0.0,1.0,1.0,,,,,,,0.0,,,,,0.0,5.0,,,,,,,,,,,,,BEL
christian kouame,Fiorentina,A,1.0,3.5,0.3,30.8,12.0,1.0,0.9,61.1,1084.0,23.0,2.0,0.7,9.0,1.9,2.0,1.4,0.2,2.0,,,,1.2,1.0,1.8,,0.6,29.2,,,,1.2,2.0,8.3,26.3,76.4,0.0,,0.7,33.3,0.1,0.1,0.16,0.17,,,6.6,0.0,,,CIV
christian pulisic,AC Milan,A,0.4,2.2,0.9,74.3,44.0,1.5,0.3,47.4,2620.0,36.0,4.0,0.2,7.0,8.0,12.0,0.7,0.3,10.0,,,,4.5,8.0,9.3,,1.1,47.7,1.0,1.5,,4.5,2.2,18.5,27.1,82.4,0.0,2.0,1.6,46.5,0.16,0.3,0.28,0.41,0.0,1.0,7.42,1.0,,,USA
christos kourfalidis,Cagliari,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christos mandas,Lazio,P,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,GRE
christos papadopoulos,Genoa,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chukwubuikem ikwuemesi,Salernitana,A,0.1,1.4,0.1,33.3,8.0,0.7,0.3,42.9,1058.0,25.0,3.0,0.7,8.0,2.4,1.0,3.0,0.1,1.0,,,,0.6,1.0,1.8,,0.7,36.4,,,,0.6,1.9,4.6,9.4,67.1,0.0,2.0,1.3,50.0,0.05,0.1,0.21,0.09,0.1,1.0,6.11,0.0,,,NGA
ciro immobile,Lazio,A,0.6,0.9,0.5,81.8,17.0,0.9,0.3,54.5,1656.0,31.0,12.0,0.6,11.0,9.8,7.0,1.2,0.3,5.0,,,,1.3,1.0,10.5,,1.3,46.9,2.0,1.7,,1.3,2.7,14.3,18.2,74.6,4.0,8.0,0.4,29.6,0.07,0.1,0.53,0.38,0.2,3.0,6.71,0.0,,,ITA
clinton nsiala-makengo,AC Milan,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cristian volpato,Sassuolo,A,1.4,2.6,1.1,50.0,16.0,2.3,1.7,52.2,632.0,22.0,,0.6,4.0,0.5,1.0,2.1,0.1,1.0,,,,1.4,0.0,1.1,,0.9,50.0,,,,,1.7,8.3,25.5,71.3,0.0,1.0,3.6,54.3,0.2,0.0,0.07,0.14,,,6.54,0.0,,,ITA
cristiano biraghi,Fiorentina,D,0.2,1.8,1.1,59.6,46.0,1.8,3.0,45.6,2358.0,29.0,1.0,1.5,40.0,1.6,2.0,1.7,0.5,14.0,,,,4.3,5.0,2.0,,0.2,35.3,,,,4.3,0.6,11.8,41.5,82.7,0.0,8.0,0.2,30.8,0.17,0.2,0.06,0.08,0.2,5.0,7.03,1.0,,,ITA
cyril ngonge,Napoli,A,0.8,1.7,0.6,63.2,30.0,1.5,0.9,54.8,1743.0,32.0,7.0,0.5,10.0,5.2,7.0,1.7,0.2,4.0,,,,2.1,2.0,5.5,,1.0,32.2,,,,2.1,3.0,11.9,16.0,72.4,0.0,6.0,1.9,48.1,0.11,0.1,0.27,0.36,0.1,1.0,6.87,0.0,,,BEL
daichi kamada,Lazio,C,0.6,2.8,2.1,67.9,24.0,1.4,1.6,65.9,1543.0,29.0,1.0,0.4,7.0,1.8,2.0,2.3,1.0,18.0,,,,2.1,2.0,1.7,,0.5,27.6,,,,2.1,1.7,6.9,47.0,89.0,0.0,3.0,0.8,66.7,0.12,0.1,0.11,0.12,0.3,5.0,6.9,1.0,,,JPN
dan ndoye,Bologna,A,0.5,2.3,0.8,50.0,22.0,1.1,1.1,78.6,1775.0,32.0,7.0,0.5,10.0,4.9,1.0,1.5,0.5,10.0,,,,1.2,1.0,3.2,,0.8,39.0,,,,1.2,2.1,2.4,23.1,83.5,0.0,4.0,1.7,44.2,0.06,0.1,0.25,0.05,0.1,1.0,6.81,0.0,,,SUI
daniel boloca,Sassuolo,C,0.5,3.5,1.5,68.8,14.0,0.6,2.4,68.8,2023.0,30.0,1.0,1.4,32.0,0.5,1.0,1.1,0.6,14.0,1.0,,,0.5,0.0,0.6,,0.2,30.8,,,1.0,,0.6,7.7,42.4,90.4,0.0,6.0,1.2,80.0,0.02,0.0,0.02,0.04,0.6,13.0,6.74,1.0,,,ROU
daniel maldini,Empoli,A,,,,,12.0,1.8,,,,,,,,1.6,4.0,,,,,,,0.8,1.0,2.5,,,,,,,0.8,,,,,0.0,1.0,,,,,,,,,,,,,ITA
daniel samek,Lecce,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniel silva,Verona,C,,,,,3.0,0.6,,,,,,,,0.1,0.0,,,,,,,0.3,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,POR
daniel theiner,Sassuolo,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniele padelli,Udinese,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,ITA
daniele rugani,Juventus,D,,,,,3.0,0.2,,,,,2.0,,,1.7,2.0,,,,,,,0.1,0.0,1.0,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,ITA
daniele sommariva,Genoa,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danilo,Juventus,D,0.2,1.7,1.3,60.0,21.0,0.8,4.9,55.4,2451.0,29.0,1.0,3.4,92.0,1.3,1.0,1.0,1.4,37.0,,,,1.0,1.0,0.8,,0.1,11.8,,,,1.0,0.6,5.9,55.4,87.1,0.0,7.0,0.3,88.9,0.03,0.0,0.05,0.04,0.6,15.0,7.4,3.0,,,BRA
danilo cataldi,Lazio,C,0.3,4.3,0.8,50.0,11.0,0.7,1.3,42.2,1360.0,28.0,,1.3,19.0,0.4,1.0,1.1,1.1,17.0,,,,0.9,0.0,0.5,,0.1,16.7,,,,,0.8,8.3,52.0,87.9,0.0,8.0,0.4,75.0,0.06,0.0,0.02,0.07,0.5,7.0,6.73,0.0,,,ITA
danilo d'ambrosio,Monza,D,0.1,1.7,2.0,59.6,4.0,0.2,2.3,41.5,1534.0,24.0,,1.8,31.0,0.7,0.0,1.1,0.8,14.0,1.0,,,0.4,0.0,0.7,,0.2,28.6,,,1.0,,0.8,0.0,56.0,90.1,,3.0,0.4,58.3,0.03,0.0,0.04,0.0,0.8,13.0,6.78,0.0,,,ITA
dany mota,Monza,A,0.4,1.9,0.3,53.8,34.0,1.5,1.6,71.2,2059.0,34.0,6.0,0.7,16.0,3.7,4.0,1.0,0.1,2.0,,,,3.1,3.0,2.7,,0.5,31.6,2.0,1.2,,3.1,1.7,10.5,25.8,79.8,0.0,3.0,0.7,36.4,0.13,0.1,0.16,0.17,0.0,1.0,6.69,0.0,,,POR
darko lazovic,Verona,A,0.3,1.7,0.7,61.5,31.0,1.4,1.1,37.7,1942.0,32.0,4.0,0.6,13.0,2.8,3.0,0.2,0.3,6.0,,,,3.5,2.0,3.4,,0.6,41.2,,,1.0,3.5,1.6,8.8,17.3,70.2,1.0,,0.2,20.8,0.16,0.1,0.13,0.14,0.0,1.0,6.56,0.0,,,SRB
david ankeye,Genoa,A,,,,,,,,,,,,,,0.2,0.0,,,,,,,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NGA
david okereke,Torino,A,,,,,2.0,0.7,,,,,,,,0.3,0.0,,,,,,,0.3,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,NGA
david pejicic,Udinese,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david zima,Torino,D,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CZE
davide bartesaghi,AC Milan,D,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
davide bettella,Monza,D,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
davide biraschi,Genoa,D,,,,,,,,,,,,,,0.1,1.0,,,,,,,0.0,0.0,0.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ITA
davide calabria,AC Milan,D,0.2,1.9,1.6,54.3,12.0,0.5,1.7,41.2,2191.0,29.0,1.0,1.7,42.0,1.3,1.0,1.0,1.0,24.0,1.0,,,1.6,3.0,1.0,,0.3,38.1,,,2.0,1.6,0.9,4.8,46.4,87.0,0.0,3.0,0.2,30.0,0.07,0.1,0.05,0.04,0.3,7.0,6.9,0.0,,,ITA
davide frattesi,Inter,C,0.2,1.8,0.6,60.0,10.0,1.0,0.9,52.9,934.0,32.0,7.0,1.5,16.0,7.1,6.0,1.2,0.5,5.0,,,,2.0,3.0,6.9,,1.3,43.8,1.0,1.5,,2.0,3.1,18.8,22.5,80.9,0.0,1.0,0.7,35.0,0.2,0.3,0.69,0.58,0.3,3.0,6.6,1.0,,,ITA
davide zappacosta,Atalanta,C,0.5,1.8,1.0,66.7,17.0,0.8,1.1,62.2,1875.0,31.0,4.0,0.7,15.0,2.3,2.0,1.2,0.2,5.0,,,,1.7,1.0,1.8,,0.5,27.0,,,,1.7,1.8,5.4,34.0,88.1,0.0,5.0,0.8,42.5,0.08,0.0,0.11,0.1,0.2,4.0,6.73,0.0,,,ITA
davy klaassen,Inter,C,,,,,3.0,1.4,,,,,,,,0.1,0.0,,,,,,,0.2,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,NED
dean huijsen,Roma,D,,,,,1.0,0.2,,,,,1.0,,,0.6,2.0,,,,,,,0.1,0.0,0.5,,,,1.0,0.3,,,,,,,0.0,4.0,,,,,,,,,,,,,ESP
demba seck,Frosinone,A,0.4,2.4,0.9,58.3,5.0,0.6,0.3,66.7,718.0,20.0,1.0,0.1,1.0,1.5,0.0,2.3,0.3,2.0,,,,0.5,0.0,1.5,,0.5,25.0,,,,,2.0,0.0,19.4,79.1,,1.0,1.4,42.3,0.07,0.0,0.18,0.0,,,,,,,SEN
denis cazzadori,Verona,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denzel dumfries,Inter,D,0.3,1.5,0.7,59.1,27.0,1.5,0.7,43.3,1640.0,31.0,6.0,1.3,24.0,2.3,4.0,1.4,0.7,12.0,,,,3.2,4.0,3.3,,0.3,25.0,,,1.0,3.2,1.3,16.7,27.2,80.9,0.0,2.0,0.8,53.8,0.18,0.2,0.12,0.22,0.3,6.0,6.91,0.0,,,NED
diego coppola,Verona,D,0.1,1.4,1.2,61.1,4.0,0.2,3.0,44.4,1636.0,24.0,3.0,4.8,88.0,1.2,2.0,1.8,1.5,27.0,,,,0.1,0.0,1.2,,0.2,23.1,,,,,0.7,15.4,30.5,77.5,0.0,9.0,,,0.01,0.0,0.07,0.11,0.5,9.0,6.86,1.0,,,ITA
diego demme,Napoli,C,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,GER
diego gonzalez,Lazio,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diego llorente,Roma,D,,,0.8,61.3,4.0,0.2,2.9,52.6,2173.0,29.0,,3.2,77.0,0.4,1.0,1.0,0.9,22.0,1.0,,,0.2,1.0,0.5,,0.2,44.4,,,,0.2,0.4,11.1,61.8,91.4,0.0,5.0,0.1,50.0,0.01,0.0,0.02,0.04,1.1,27.0,6.76,0.0,,,ESP
diego valencia,Salernitana,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimitrije kamenovic,Lazio,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
djed spence,Genoa,D,,,,,6.0,0.6,,,,,,,,0.2,0.0,,,,,,,0.4,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,ENG
dodo,Fiorentina,D,,,,,10.0,1.7,,,,,,,,0.1,0.0,,,,,,,0.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,BRA
domagoj bradaric,Salernitana,D,0.3,1.4,0.7,69.0,36.0,1.2,1.2,35.3,2753.0,34.0,,1.6,50.0,0.8,0.0,0.5,1.0,32.0,,,,1.6,3.0,0.8,,0.1,21.1,,,,1.6,0.6,0.0,32.3,81.6,,5.0,0.7,45.5,0.05,0.1,0.03,0.0,0.2,7.0,6.75,0.0,,,CRO
domenico berardi,Sassuolo,A,,,,,27.0,1.7,,,,,2.0,,,6.5,9.0,,,,,,,2.5,3.0,8.3,,,,1.0,1.8,,2.5,,,,,5.0,6.0,,,,,,,,,,,,,ITA
domingos quina,Udinese,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dusan vlahovic,Juventus,A,0.7,0.9,0.2,55.6,29.0,1.1,0.5,63.2,2317.0,33.0,19.0,0.4,11.0,16.7,16.0,1.2,0.0,1.0,,,,1.6,4.0,15.2,,1.5,35.5,,,1.0,1.6,4.3,14.6,14.7,71.6,2.0,6.0,0.7,43.9,0.06,0.2,0.65,0.62,0.1,2.0,7.0,6.0,,,SRB
duvan zapata,Torino,A,0.7,1.6,0.2,38.9,29.0,0.9,0.6,65.6,3005.0,37.0,9.0,0.8,27.0,11.3,13.0,1.6,0.2,7.0,,,,1.6,4.0,12.7,,1.2,39.4,,,,1.6,3.1,12.5,15.4,70.3,0.0,2.0,1.1,37.6,0.05,0.1,0.34,0.39,0.2,6.0,6.98,3.0,,,COL
dylan bronn,Salernitana,D,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,TUN
ebenezer akinsanmiro,Inter,C,,,,,1.0,6.4,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NGA
ederson,Atalanta,C,0.3,3.0,1.5,59.0,18.0,0.6,2.7,55.5,2873.0,36.0,3.0,0.9,28.0,3.5,6.0,1.4,1.3,41.0,,,,2.3,1.0,3.3,,0.3,28.9,,,,2.3,1.2,15.8,43.3,84.4,0.0,8.0,0.7,55.0,0.07,0.0,0.11,0.19,0.3,8.0,7.22,1.0,,,BRA
edoardo bove,Roma,C,0.4,2.3,1.6,51.7,16.0,0.8,1.3,62.5,1777.0,31.0,3.0,0.6,11.0,2.0,0.0,1.6,0.6,11.0,,,,1.2,2.0,1.5,,0.3,31.6,,,,1.2,1.0,0.0,32.8,84.5,,2.0,0.5,56.3,0.06,0.1,0.1,0.0,0.1,1.0,6.74,0.0,,,ITA
edoardo goldaniga,Cagliari,D,,,,,4.0,0.4,,,,,2.0,,,0.5,0.0,,,,,,,0.4,0.0,0.6,,,,,,,,,,,,,3.0,,,,,,,,,,,,,ITA
el bilal toure,Atalanta,A,,,,,7.0,1.6,,,,,1.0,,,1.2,2.0,,,,,,,0.6,0.0,1.8,,,,1.0,1.9,,,,,,,0.0,2.0,,,,,,,,,,,,,MLI
elayis tavsan,Verona,C,,,,,,,,,,,,,,0.1,0.0,,,,,,,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,NED
eldor shomurodov,Cagliari,A,0.7,2.3,0.4,36.4,10.0,1.0,0.2,33.3,933.0,22.0,2.0,0.4,4.0,3.5,3.0,1.1,0.4,4.0,,,,1.1,3.0,2.2,,0.7,33.3,,,,1.1,2.0,14.3,14.4,67.7,0.0,1.0,1.0,38.5,0.11,0.3,0.34,0.29,,,6.41,1.0,,,UZB
elia caprile,Empoli,P,,,,,2.0,0.1,,,,,,1.3,30.0,,,0.0,,,,5.0,27.0,0.0,0.0,,1.2,,,,,,,,,18.4,62.4,,,,,0.0,0.0,,,,,6.97,3.0,3.5,80.0,ITA
elio capradossi,Cagliari,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eljif elmas,Napoli,C,,,,,6.0,1.6,,,,,,,,0.5,2.0,,,,,,,0.3,0.0,1.8,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,MKD
elseid hysaj,Lazio,D,0.2,2.0,1.1,58.3,9.0,0.7,2.5,50.8,1194.0,22.0,1.0,2.1,28.0,0.4,0.0,1.1,1.3,17.0,,,,1.0,0.0,0.2,,0.1,50.0,,,,,0.2,0.0,46.7,84.8,,2.0,0.2,25.0,0.07,0.0,0.03,0.0,0.5,6.0,6.61,0.0,,,ALB
emanuel vignato,Salernitana,C,,,,,5.0,1.5,,,,,,,,0.0,0.0,,,,,,,0.1,1.0,,,,,,,,0.1,,,,,,1.0,,,,,,,,,,,,,ITA
emanuele elia,Salernitana,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emanuele valeri,Frosinone,D,,,,,24.0,1.8,,,,,1.0,,,0.9,0.0,,,,,,,1.6,1.0,0.4,,,,1.0,0.6,,1.6,,,,,,3.0,,,,,,,,,,,,,ITA
emil audero,Inter,P,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
emil bohinen,Salernitana,C,,,,,7.0,1.1,,,,,,,,0.1,0.0,,,,,,,0.2,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,NOR
emil holm,Atalanta,D,0.4,2.4,1.8,67.9,4.0,0.4,0.9,28.1,948.0,22.0,3.0,2.1,22.0,2.7,1.0,1.3,0.7,7.0,,,,1.0,1.0,2.6,,0.8,30.8,2.0,2.0,,1.0,2.5,3.9,21.6,69.0,0.0,5.0,1.7,60.0,0.09,0.1,0.26,0.09,0.3,3.0,,,,,SWE
emil konradsen ceide,Sassuolo,A,,,,,4.0,2.2,,,,,,,,0.1,0.0,,,,,,,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR
emmanuel ekong,Empoli,A,,,,,1.0,22.5,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE
emmanuel quartsin gyasi,Empoli,A,0.4,1.6,0.8,50.0,10.0,0.5,0.2,20.0,1873.0,33.0,5.0,1.2,24.0,3.8,1.0,1.9,0.2,5.0,,,,1.0,2.0,2.5,,0.3,37.5,,,,1.0,0.8,6.3,18.0,78.0,0.0,9.0,0.1,16.7,0.05,0.1,0.18,0.05,0.6,12.0,6.36,0.0,,,GHA
enzo barrenechea,Frosinone,C,0.4,4.5,1.3,64.6,25.0,0.8,2.5,43.1,2816.0,36.0,,1.8,57.0,0.6,0.0,1.0,0.9,27.0,,,,1.1,1.0,0.2,,0.1,15.0,,,,1.1,0.6,0.0,51.8,85.5,,10.0,0.3,50.0,0.04,0.0,0.02,0.0,0.4,12.0,6.91,2.0,,,ARG
enzo ebosse,Udinese,D,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CMR
erik botheim,Salernitana,A,,,,,,,,,,,,,,0.1,0.0,,,,,,,0.1,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,NOR
etienne camara,Udinese,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etrit berisha,Empoli,P,,,,,,,,,,,,,,,,,,,,4.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ALB
eugenio lamanna,Monza,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evan n'dicka,Roma,D,0.1,1.5,0.7,56.3,6.0,0.2,1.9,39.5,2170.0,25.0,2.0,3.0,72.0,1.0,0.0,1.1,0.7,16.0,,,,0.5,3.0,0.6,,0.0,11.1,,,,0.5,0.4,0.0,59.2,91.1,,6.0,0.1,66.7,0.02,0.1,0.04,0.0,0.7,16.0,6.93,0.0,,,CIV
fabiano parisi,Fiorentina,D,0.6,3.2,0.9,50.0,16.0,1.0,2.6,59.2,1452.0,21.0,2.0,1.3,21.0,0.9,0.0,0.9,1.1,17.0,3.0,,,1.3,1.0,0.1,,0.1,16.7,,,,1.3,0.7,0.0,44.3,85.6,,4.0,1.5,68.6,0.08,0.1,0.06,0.0,0.3,5.0,7.11,1.0,,,ITA
fabien centonze,Verona,D,,,,,6.0,0.8,,,,,,,,0.0,0.0,,,,,,,0.8,1.0,,,,,,,,0.8,,,,,,2.0,,,,,,,,,,,,,FRA
fabio miretti,Juventus,C,0.6,3.2,1.1,77.8,24.0,2.0,1.1,58.3,1104.0,25.0,1.0,0.4,5.0,1.2,1.0,1.8,0.6,7.0,,,,1.2,1.0,0.7,,0.2,15.0,,,,1.2,1.6,5.0,27.0,80.1,0.0,3.0,1.7,53.8,0.1,0.1,0.1,0.08,0.1,1.0,6.74,0.0,,,ITA
fares ghedjemis,Frosinone,A,,,,,2.0,1.0,,,,,,,,0.1,0.0,,,,,,,0.1,0.0,0.2,,,,,,,,,,,,,1.0,,,,,,,,,,,,,FRA
federico baschirotto,Lecce,D,,,0.3,57.1,2.0,0.1,3.4,46.8,3295.0,37.0,4.0,3.9,142.0,1.8,0.0,0.8,0.6,23.0,2.0,,,0.3,1.0,0.8,,0.2,35.3,,,1.0,0.3,0.5,0.0,41.2,84.1,,3.0,,,0.01,0.0,0.05,0.0,0.7,26.0,6.5,0.0,,,ITA
federico bonazzoli,Verona,A,0.6,1.7,0.1,25.0,8.0,0.7,1.7,90.5,1014.0,24.0,1.0,0.3,3.0,3.1,3.0,0.9,0.3,3.0,,,,0.5,1.0,2.2,,1.2,48.1,,,,0.5,2.4,11.1,21.4,79.5,0.0,3.0,0.5,54.5,0.04,0.1,0.27,0.27,0.1,1.0,6.4,0.0,,,ITA
federico brancolini,Lecce,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federico ceccherini,Verona,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federico chiesa,Juventus,A,0.5,1.1,0.4,50.0,54.0,2.2,0.4,71.4,2207.0,33.0,9.0,0.2,4.0,6.4,9.0,0.5,0.2,6.0,,,,5.6,2.0,7.3,,1.1,36.0,1.0,1.6,,5.6,3.1,12.0,17.9,77.3,1.0,1.0,1.4,42.2,0.23,0.1,0.26,0.37,0.0,1.0,7.06,2.0,,,ITA
federico di francesco,Lecce,A,,,,,,,,,,,,,,0.1,1.0,,,,,,,0.0,0.0,0.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ITA
federico dimarco,Inter,D,0.5,1.6,1.1,59.5,61.0,2.6,2.1,57.8,2105.0,30.0,2.0,1.0,24.0,2.9,5.0,0.5,0.4,9.0,,,,7.5,6.0,3.9,,0.8,37.3,,,,7.5,2.2,9.8,36.6,85.2,0.0,,0.3,33.3,0.32,0.3,0.12,0.21,0.1,3.0,7.41,0.0,,,ITA
federico fazio,Salernitana,D,,,,,3.0,0.2,,,,,2.0,,,0.4,1.0,,,,1.0,,,0.3,0.0,0.4,,,,,,1.0,,,,,,0.0,3.0,,,,,,,,,,,,,ARG
federico gatti,Juventus,D,0.1,2.2,0.6,57.6,10.0,0.3,2.5,51.7,2640.0,32.0,6.0,2.8,82.0,5.5,4.0,1.3,0.6,19.0,,,,1.3,0.0,3.1,,0.2,20.0,1.0,0.5,,,1.2,11.4,38.1,86.1,0.0,7.0,0.3,47.4,0.04,0.0,0.19,0.14,0.5,15.0,6.95,2.0,,,ITA
federico ravaglia,Bologna,P,,,,,,,,,,,,,,,,,,,,4.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
felipe anderson,Lazio,C,0.6,2.3,1.5,57.7,42.0,1.4,0.9,43.8,2782.0,38.0,4.0,0.7,21.0,4.4,5.0,1.0,0.9,27.0,,,,4.7,6.0,4.4,,0.4,25.6,,,,4.7,1.4,11.6,31.8,78.5,0.0,3.0,1.4,44.3,0.15,0.2,0.14,0.16,0.1,3.0,7.14,4.0,,,BRA
festy ebosele,Udinese,D,0.3,1.5,1.1,60.6,15.0,0.8,0.6,47.8,1705.0,31.0,1.0,1.1,20.0,0.8,0.0,1.5,0.5,10.0,3.0,,,1.5,0.0,0.7,,0.3,31.3,1.0,2.4,1.0,,0.8,0.0,11.9,71.4,,4.0,2.6,57.0,0.08,0.0,0.04,0.0,0.1,2.0,6.5,0.0,,,IRL
