Player,Team,Score_C_finale
Michel Ndary Adopo,Atalanta,14.45
Iron Gomis,Salernitana,12.58
Luca Garritano,Frosinone,12.41
Marco Mancosu,Cagliari,12.070000000000002
Riccardo Saponara,Verona,11.73
Luca Lipani,Sassuolo,11.219999999999999
Filippo Ranocchia,Empoli,9.52
Rade Krunic,AC Milan,8.839999999999998
Renato Sanches,Roma,8.67
Davy Klaassen,Inter,8.33
Charlys,Verona,6.8
Daniel Silva,Verona,5.44
Tommaso Pobega,AC Milan,4.930000000000001
Alejandro Gomez,Monza,4.93
Paul Pogba,Juventus,3.9099999999999997
Nicolas Dominguez,Bologna,3.9099999999999997
Riccardo Pagano,Roma,3.9099999999999997
Simone Verdi,Torino,3.4
Ebenezer Akinsanmiro,Inter,3.4
Jose Machin,Monza,1.5300000000000005
Elayis Tavsan,Verona,0.51
Lorenzo Amatucci,Fiorentina,0.51
Kevin Leone,Sassuolo,0.0
Joselito,Verona,0.0
Niccolo Pisilli,Roma,0.0
Francesco D'Alessio,Roma,0.0
Iwo Kaczmarski,Empoli,0.0
Lucien Agoume,Inter,0.0
Karlo Lulic,Frosinone,0.0
Karim Zedadka,Napoli,0.0
Liam Henderson,Empoli,0.0
Antonio Pio Iervolino,Salernitana,0.0
Kevin Zeroli,AC Milan,0.0
Antonino Viola,Lecce,0.0
Andre Anderson,Lazio,0.0
Lorenzo Ignacchiti,Empoli,0.0
Justin Kumi,Sassuolo,0.0
Reda Belahyane,Verona,0.0
Leander Dendoncker,Napoli,0.0
Luca Belardinelli,Empoli,0.0
Orir Johann Helgason,Lecce,0.0
Niklas Pyyhtia,Bologna,0.0
Franco Carboni,Monza,0.0
David Pejicic,Udinese,0.0
Quina,Udinese,0.0
Christos Papadopoulos,Genoa,0.0
Christos Kourfalidis,Cagliari,0.0
Daniel Samek,Lecce,0.0
Marcin Listkowski,Lecce,0.0
Marco Ballarini,Udinese,0.0
Gino Infantino,Fiorentina,0.0
Catalin Vulturar,Lecce,0.0
Giacomo Faticanti,Lecce,0.0
Mamadou Coulibaly,Salernitana,0.0
Marko Rog,Cagliari,0.0
Giovanni Crociata,Empoli,0.0
Alessandro Sodero,Empoli,0.0
Pablo Galdames,Genoa,0.0
Filip Jagiello,Genoa,0.0
Nicola Patane,Verona,0.0
Mattia Mannini,Roma,0.0
Mattia Valoti,Monza,0.0
Etienne Camara,Udinese,0.0
Domingos Quina,Udinese,0.0
Victor Eletu,AC Milan,0.0
Nunzio Lella,Cagliari,0.0
Nikola Sekulov,Juventus,0.0
Luka Romero,AC Milan,-2.38
Nicolas Haas,Empoli,-2.8899999999999997
Diego Demme,Napoli,-3.4
Mehdi Bourabia,Frosinone,-4.59
Joseph Boende,Juventus,-5.95
