Player,Team,Score_A_finale
Agustin Alvarez,Sassuolo,0.0
Jeppe Corfitzen,Lecce,0.0
Till Winkelman,Lecce,0.0
Flavio Russo,Sassuolo,0.0
Giacomo Corona,Empoli,0.0
Matija Popovic,Monza,0.0
Giorgi Kvernadze,Frosinone,0.0
Gaston Pereiro,Cagliari,0.0
Gerard Deulofeu,Udinese,0.0
Massimo Coda,Genoa,0.0
Francesco Camarda,AC Milan,0.0
Siren Diao Balde,Verona,0.0
Marley Ake,Udinese,0.0
Gennaro Borrelli,Frosinone,0.0
Hirving Lozano,Napoli,0.0
Jacopo Desogus,Cagliari,0.0
Luigi Cherubini,Roma,0.0
Sekou Diawara,Udinese,0.0
Leonardo Cerri,Juventus,0.0
Joaquin Correa,Inter,0.0
Soufiane Bidaoui,Frosinone,0.0
Andrea Ferraris,Monza,0.0
Joel Voelkerling Persson,Lecce,0.0
Junior Ajayi,Verona,0.0
Assan Ceesay,Lecce,0.0
Alphadjo Cisse,Verona,0.0
Erik Botheim,Salernitana,-0.3399999999999999
