Giocatore,Giornata,Pred_Gol_Pesata
francesco acerbi,G11,0.1051
josip brekalo,G11,0.1051
valentin castellanos,G11,0.1051
milan djuric,G11,0.1051
sead kolasinac,G11,0.1051
nahitan nandez,G11,0.1051
matteo pessina,G11,0.1051
reinier,G11,0.1051
valentin carboni,G11,0.1051
andrea cambiaso,G11,0.1045
antonio candreva,G11,0.1031
paulo dybala,G11,0.1031
abdou harroui,G11,0.1031
lucas martinez quarta,G11,0.1031
henrikh mkhitaryan,G11,0.1031
cyril ngonge,G11,0.1031
duvan zapata,G11,0.1031
lorenzo colombo,G11,0.0986
gianluca gaetano,G11,0.0986
lorenzo pellegrini,G11,0.0986
m'bala nzola,G11,0.0986
leo ostigard,G11,0.0986
francesco caputo,G11,0.0901
lorenzo de silvestri,G11,0.0901
stephan el shaarawy,G11,0.0901
felipe anderson,G11,0.0901
emmanuel quartsin gyasi,G11,0.0901
darko lazovic,G11,0.0901
manuel locatelli,G11,0.0901
nicolas viola,G11,0.0901
khvicha kvaratskhelia,G11,0.0818
pontus almqvist,G11,0.0758
mattia bani,G11,0.0758
cristiano biraghi,G11,0.0758
davide biraschi,G11,0.0758
federico bonazzoli,G11,0.0758
jovane cabral,G11,0.0758
walid cheddira,G11,0.0758
bryan cristante,G11,0.0758
danilo,G11,0.0758
charles de ketelaere,G11,0.0758
federico di francesco,G11,0.0758
giovanni di lorenzo,G11,0.0758
federico dimarco,G11,0.0758
ondrej duda,G11,0.0758
alfred duncan,G11,0.0758
davide frattesi,G11,0.0758
roberto gagliardini,G11,0.0758
theo hernandez,G11,0.0758
daichi kamada,G11,0.0758
christian kouame,G11,0.0758
armand lauriente,G11,0.0758
pol lirola,G11,0.0758
gianluca mancini,G11,0.0758
rolando mandragora,G11,0.0758
ilario monterisi,G11,0.0758
remi oudin,G11,0.0758
mario pasalic,G11,0.0758
adrien rabiot,G11,0.0758
hamza rafia,G11,0.0758
renato sanches,G11,0.0758
simone romagnoli,G11,0.0758
perr schuurs,G11,0.0758
leonardo spinazzola,G11,0.0758
gabriel strefezza,G11,0.0758
nadir zortea,G11,0.0758
alessandro bastoni,G11,0.0486
andrea carboni,G11,0.0486
tammy abraham,G11,0.0486
yacine adli,G11,0.0486
alex sandro,G11,0.0486
amir rrahmani,G11,0.0486
marko arnautovic,G11,0.0486
arthur,G11,0.0486
kristjan asllani,G11,0.0486
tommaso augello,G11,0.0486
sardar azmoun,G11,0.0486
milan badelj,G11,0.0486
jaime baez,G11,0.0486
mitchel bakker,G11,0.0486
lameck banda,G11,0.0486
antonin barak,G11,0.0486
nicolo barella,G11,0.0486
raoul bellanova,G11,0.0486
lucas beltran,G11,0.0486
ismael bennacer,G11,0.0486
sam beukema,G11,0.0486
yann aurel bisseck,G11,0.0486
warren bondo,G11,0.0486
gleison bremer,G11,0.0486
marco brescianini,G11,0.0486
tajon buchanan,G11,0.0486
riccardo calafiori,G11,0.0486
luca caldirola,G11,0.0486
nicolo cambiaghi,G11,0.0486
matteo cancellieri,G11,0.0486
santiago castro,G11,0.0486
gaetano castrovilli,G11,0.0486
danilo cataldi,G11,0.0486
leonardo cerri,G11,0.0486
samuel chukwueze,G11,0.0486
diego coppola,G11,0.0486
marvin cuni,G11,0.0486
dany mota,G11,0.0486
matteo darmian,G11,0.0486
keinan davis,G11,0.0486
stefan de vrij,G11,0.0486
gregoire defrel,G11,0.0486
alessandro deiola,G11,0.0486
patrick dorgu,G11,0.0486
alberto dossena,G11,0.0486
radu dragusin,G11,0.0486
caleb ekuban,G11,0.0486
oussama el azzouzi,G11,0.0486
eljif elmas,G11,0.0486
martin erlic,G11,0.0486
federico fazio,G11,0.0486
jacopo fazzini,G11,0.0486
gian marco ferrari,G11,0.0486
alessandro florenzi,G11,0.0486
michael folorunsho,G11,0.0486
morten frendrup,G11,0.0486
remo freuler,G11,0.0486
matteo gabbia,G11,0.0486
valentin gendrey,G11,0.0486
lautaro gianetti,G11,0.0486
matteo guendouzi,G11,0.0486
thomas henry,G11,0.0486
emil holm,G11,0.0486
dean huijsen,G11,0.0486
chukwubuikem ikwuemesi,G11,0.0486
ivan ilic,G11,0.0486
samuel iling-junior,G11,0.0486
gustav isaksen,G11,0.0486
jakub jankto,G11,0.0486
luka jovic,G11,0.0486
juan jesus,G11,0.0486
christian kabasele,G11,0.0486
kaio jorge,G11,0.0486
hassane kamara,G11,0.0486
grigoris kastanos,G11,0.0486
michael kayode,G11,0.0486
kingstone mutandwa,G11,0.0486
viktor kovalenko,G11,0.0486
luca ranieri,G11,0.0486
gianluca lapadula,G11,0.0486
diego llorente,G11,0.0486
sandi lovric,G11,0.0486
luca pellegrini,G11,0.0486
sebastiano luperto,G11,0.0486
charalambos lykogiannis,G11,0.0486
giulio maggiore,G11,0.0486
daniel maldini,G11,0.0486
ruslan malinovsky,G11,0.0486
mirko maric,G11,0.0486
agustin martegani,G11,0.0486
adam marusic,G11,0.0486
matheus henrique,G11,0.0486
mathias olivera,G11,0.0486
yerry mina,G11,0.0486
aleksey miranchuk,G11,0.0486
fabio miretti,G11,0.0486
nikola moro,G11,0.0486
luis muriel,G11,0.0486
dan ndoye,G11,0.0486
m'baye niang,G11,0.0486
tijjani noslin,G11,0.0486
jens odgaard,G11,0.0486
gaetano oristanio,G11,0.0486
leandro paredes,G11,0.0486
patric,G11,0.0486
leonardo pavoletti,G11,0.0486
martin payero,G11,0.0486
pedro rodriguez,G11,0.0486
pietro pellegri,G11,0.0486
roberto pereyra,G11,0.0486
andrea petagna,G11,0.0486
roberto piccoli,G11,0.0486
niccolo pierozzi,G11,0.0486
stefan posch,G11,0.0486
matteo prati,G11,0.0486
rasmus kristensen,G11,0.0486
uros racic,G11,0.0486
ylber ramadani,G11,0.0486
tijjani reijnders,G11,0.0486
samuele ricci,G11,0.0486
ricardo rodriguez,G11,0.0486
daniele rugani,G11,0.0486
simone bastoni,G11,0.0486
alexis saelemaekers,G11,0.0486
junior sambia,G11,0.0486
antonio sanabria,G11,0.0486
alexis sanchez,G11,0.0486
nicola sansone,G11,0.0486
zanos savva,G11,0.0486
giorgio scalvini,G11,0.0486
eldor shomurodov,G11,0.0486
jan-carlo simic,G11,0.0486
simy,G11,0.0486
riccardo sottil,G11,0.0486
isaac success,G11,0.0486
ibrahim sulemana,G11,0.0486
tomas suslov,G11,0.0486
karol swiderski,G11,0.0486
loum tchaouna,G11,0.0486
florian thauvin,G11,0.0486
kristian thorstvedt,G11,0.0486
el bilal toure,G11,0.0486
chaka traore,G11,0.0486
johan vasquez,G11,0.0486
mattia viti,G11,0.0486
vitor oliveira,G11,0.0486
nikola vlasic,G11,0.0486
cristian volpato,G11,0.0486
walace,G11,0.0486
shon weissman,G11,0.0486
kenan yildiz,G11,0.0486
gabriele zappa,G11,0.0486
davide zappacosta,G11,0.0486
oier zarraga,G11,0.0486
jordan zemura,G11,0.0486
szymon zurkowski,G11,0.0486
olivier giroud,G12,0.43
romelu lukaku,G12,0.4167
hakan calhanoglu,G12,0.339
andrea colpani,G12,0.325
lewis ferguson,G12,0.314
victor osimhen,G12,0.3027
lautaro martinez,G12,0.3
matteo politano,G12,0.3
nicolas viola,G12,0.289
nikola krstovic,G12,0.265
domenico berardi,G12,0.2529
nicolas gonzalez,G12,0.2527
christian pulisic,G12,0.2527
marcus thuram,G12,0.2273
ederson,G12,0.215
luca mazzitelli,G12,0.1977
lorenzo colombo,G12,0.19
lorenzo lucca,G12,0.1812
mateo retegui,G12,0.18
joshua zirkzee,G12,0.1779
giacomo raspadori,G12,0.175
giacomo bonaventura,G12,0.1713
ademola lookman,G12,0.1528
luis alberto,G12,0.1528
federico chiesa,G12,0.1486
andrea pinamonti,G12,0.1486
dusan vlahovic,G12,0.1486
milan djuric,G12,0.1477
andrea belotti,G12,0.1463
ciro immobile,G12,0.1378
teun koopmeiners,G12,0.1378
noah okafor,G12,0.13
boulaye dia,G12,0.1278
matias soule,G12,0.1278
pontus almqvist,G12,0.1273
gianluca scamacca,G12,0.125
nemanja radonjicc,G12,0.1236
rafael leao,G12,0.1236
houssem aouar,G12,0.1213
arkadiusz milik,G12,0.1213
matias vecino,G12,0.1213
alessandro buongiorno,G12,0.1128
giovanni fabbian,G12,0.1128
nehuen perez,G12,0.1118
gianluca gaetano,G12,0.105
lorenzo pellegrini,G12,0.105
m'bala nzola,G12,0.105
leo ostigard,G12,0.105
francesco caputo,G12,0.1028
lorenzo de silvestri,G12,0.1028
stephan el shaarawy,G12,0.1028
felipe anderson,G12,0.1028
emmanuel quartsin gyasi,G12,0.1028
darko lazovic,G12,0.1028
manuel locatelli,G12,0.1028
sardar azmoun,G12,0.1023
luca caldirola,G12,0.1023
matteo cancellieri,G12,0.1023
marvin cuni,G12,0.1023
eljif elmas,G12,0.1023
fabio miretti,G12,0.1023
roberto pereyra,G12,0.1023
antonio sanabria,G12,0.1023
kristian thorstvedt,G12,0.1023
nikola vlasic,G12,0.1023
gabriele zappa,G12,0.1023
albert gudmundsson,G12,0.1
zito luvumbo,G12,0.1
riccardo orsolini,G12,0.1
antonio candreva,G12,0.0986
denzel dumfries,G12,0.0986
paulo dybala,G12,0.0986
abdou harroui,G12,0.0986
lucas martinez quarta,G12,0.0986
henrikh mkhitaryan,G12,0.0986
cyril ngonge,G12,0.0986
lazar samardzic,G12,0.0986
duvan zapata,G12,0.0986
piotr zielinski,G12,0.0986
federico gatti,G12,0.0963
francesco acerbi,G12,0.0963
josip brekalo,G12,0.0963
valentin castellanos,G12,0.0963
sead kolasinac,G12,0.0963
nahitan nandez,G12,0.0963
matteo pessina,G12,0.0963
reinier,G12,0.0963
valentin carboni,G12,0.0963
andrea cambiaso,G12,0.0878
khvicha kvaratskhelia,G12,0.075
nedim bajrami,G12,0.0736
tommaso baldanzi,G12,0.0736
mattia bani,G12,0.0736
cristiano biraghi,G12,0.0736
davide biraschi,G12,0.0736
federico bonazzoli,G12,0.0736
jovane cabral,G12,0.0736
walid cheddira,G12,0.0736
bryan cristante,G12,0.0736
danilo,G12,0.0736
charles de ketelaere,G12,0.0736
federico di francesco,G12,0.0736
giovanni di lorenzo,G12,0.0736
federico dimarco,G12,0.0736
ondrej duda,G12,0.0736
alfred duncan,G12,0.0736
davide frattesi,G12,0.0736
roberto gagliardini,G12,0.0736
theo hernandez,G12,0.0736
jonathan ikone,G12,0.0736
daichi kamada,G12,0.0736
christian kouame,G12,0.0736
armand lauriente,G12,0.0736
pol lirola,G12,0.0736
ruben loftus-cheek,G12,0.0736
gianluca mancini,G12,0.0736
rolando mandragora,G12,0.0736
junior messias,G12,0.0736
ilario monterisi,G12,0.0736
remi oudin,G12,0.0736
mario pasalic,G12,0.0736
adrien rabiot,G12,0.0736
hamza rafia,G12,0.0736
renato sanches,G12,0.0736
simone romagnoli,G12,0.0736
perr schuurs,G12,0.0736
giovanni simeone,G12,0.0736
leonardo spinazzola,G12,0.0736
gabriel strefezza,G12,0.0736
morten thorsby,G12,0.0736
fikayo tomori,G12,0.0736
mattia zaccagni,G12,0.0736
nadir zortea,G12,0.0736
alessandro bastoni,G12,0.0486
andrea carboni,G12,0.0486
tammy abraham,G12,0.0486
yacine adli,G12,0.0486
alex sandro,G12,0.0486
amir rrahmani,G12,0.0486
marko arnautovic,G12,0.0486
arthur,G12,0.0486
kristjan asllani,G12,0.0486
tommaso augello,G12,0.0486
milan badelj,G12,0.0486
jaime baez,G12,0.0486
mitchel bakker,G12,0.0486
lameck banda,G12,0.0486
antonin barak,G12,0.0486
nicolo barella,G12,0.0486
raoul bellanova,G12,0.0486
lucas beltran,G12,0.0486
ismael bennacer,G12,0.0486
sam beukema,G12,0.0486
yann aurel bisseck,G12,0.0486
warren bondo,G12,0.0486
gleison bremer,G12,0.0486
marco brescianini,G12,0.0486
tajon buchanan,G12,0.0486
riccardo calafiori,G12,0.0486
nicolo cambiaghi,G12,0.0486
santiago castro,G12,0.0486
gaetano castrovilli,G12,0.0486
danilo cataldi,G12,0.0486
leonardo cerri,G12,0.0486
samuel chukwueze,G12,0.0486
diego coppola,G12,0.0486
dany mota,G12,0.0486
matteo darmian,G12,0.0486
keinan davis,G12,0.0486
stefan de vrij,G12,0.0486
gregoire defrel,G12,0.0486
alessandro deiola,G12,0.0486
patrick dorgu,G12,0.0486
alberto dossena,G12,0.0486
radu dragusin,G12,0.0486
caleb ekuban,G12,0.0486
oussama el azzouzi,G12,0.0486
martin erlic,G12,0.0486
federico fazio,G12,0.0486
jacopo fazzini,G12,0.0486
gian marco ferrari,G12,0.0486
alessandro florenzi,G12,0.0486
michael folorunsho,G12,0.0486
morten frendrup,G12,0.0486
remo freuler,G12,0.0486
matteo gabbia,G12,0.0486
valentin gendrey,G12,0.0486
lautaro gianetti,G12,0.0486
matteo guendouzi,G12,0.0486
thomas henry,G12,0.0486
emil holm,G12,0.0486
dean huijsen,G12,0.0486
chukwubuikem ikwuemesi,G12,0.0486
ivan ilic,G12,0.0486
samuel iling-junior,G12,0.0486
gustav isaksen,G12,0.0486
jakub jankto,G12,0.0486
luka jovic,G12,0.0486
juan jesus,G12,0.0486
christian kabasele,G12,0.0486
kaio jorge,G12,0.0486
hassane kamara,G12,0.0486
grigoris kastanos,G12,0.0486
michael kayode,G12,0.0486
kingstone mutandwa,G12,0.0486
viktor kovalenko,G12,0.0486
luca ranieri,G12,0.0486
gianluca lapadula,G12,0.0486
diego llorente,G12,0.0486
sandi lovric,G12,0.0486
luca pellegrini,G12,0.0486
sebastiano luperto,G12,0.0486
charalambos lykogiannis,G12,0.0486
giulio maggiore,G12,0.0486
daniel maldini,G12,0.0486
ruslan malinovsky,G12,0.0486
mirko maric,G12,0.0486
agustin martegani,G12,0.0486
adam marusic,G12,0.0486
matheus henrique,G12,0.0486
mathias olivera,G12,0.0486
yerry mina,G12,0.0486
aleksey miranchuk,G12,0.0486
nikola moro,G12,0.0486
luis muriel,G12,0.0486
dan ndoye,G12,0.0486
m'baye niang,G12,0.0486
tijjani noslin,G12,0.0486
jens odgaard,G12,0.0486
gaetano oristanio,G12,0.0486
leandro paredes,G12,0.0486
patric,G12,0.0486
leonardo pavoletti,G12,0.0486
martin payero,G12,0.0486
pedro rodriguez,G12,0.0486
pietro pellegri,G12,0.0486
andrea petagna,G12,0.0486
roberto piccoli,G12,0.0486
niccolo pierozzi,G12,0.0486
stefan posch,G12,0.0486
matteo prati,G12,0.0486
rasmus kristensen,G12,0.0486
uros racic,G12,0.0486
ylber ramadani,G12,0.0486
tijjani reijnders,G12,0.0486
samuele ricci,G12,0.0486
ricardo rodriguez,G12,0.0486
daniele rugani,G12,0.0486
simone bastoni,G12,0.0486
alexis saelemaekers,G12,0.0486
junior sambia,G12,0.0486
alexis sanchez,G12,0.0486
nicola sansone,G12,0.0486
zanos savva,G12,0.0486
giorgio scalvini,G12,0.0486
eldor shomurodov,G12,0.0486
jan-carlo simic,G12,0.0486
simy,G12,0.0486
riccardo sottil,G12,0.0486
isaac success,G12,0.0486
ibrahim sulemana,G12,0.0486
tomas suslov,G12,0.0486
karol swiderski,G12,0.0486
loum tchaouna,G12,0.0486
florian thauvin,G12,0.0486
el bilal toure,G12,0.0486
chaka traore,G12,0.0486
johan vasquez,G12,0.0486
mattia viti,G12,0.0486
vitor oliveira,G12,0.0486
cristian volpato,G12,0.0486
walace,G12,0.0486
shon weissman,G12,0.0486
kenan yildiz,G12,0.0486
davide zappacosta,G12,0.0486
oier zarraga,G12,0.0486
jordan zemura,G12,0.0486
szymon zurkowski,G12,0.0486
lautaro martinez,G13,0.6111
ederson,G13,0.3917
joshua zirkzee,G13,0.3625
olivier giroud,G13,0.315
hakan calhanoglu,G13,0.3
nikola krstovic,G13,0.2777
giacomo bonaventura,G13,0.265
nicolas gonzalez,G13,0.265
matteo politano,G13,0.265
romelu lukaku,G13,0.2562
marcus thuram,G13,0.24
luca mazzitelli,G13,0.2312
victor osimhen,G13,0.23
albert gudmundsson,G13,0.2273
domenico berardi,G13,0.2118
andrea pinamonti,G13,0.2023
giacomo raspadori,G13,0.2023
zito luvumbo,G13,0.1933
milan djuric,G13,0.1812
riccardo orsolini,G13,0.18
christian pulisic,G13,0.18
lewis ferguson,G13,0.1779
andrea colpani,G13,0.175
boulaye dia,G13,0.1727
khvicha kvaratskhelia,G13,0.1683
andrea belotti,G13,0.155
nicolas viola,G13,0.1529
ciro immobile,G13,0.1528
teun koopmeiners,G13,0.1528
kristian thorstvedt,G13,0.15
federico chiesa,G13,0.1486
mateo retegui,G13,0.1486
dusan vlahovic,G13,0.1486
ademola lookman,G13,0.1463
luis alberto,G13,0.1463
houssem aouar,G13,0.13
arkadiusz milik,G13,0.13
matias vecino,G13,0.13
alessandro buongiorno,G13,0.1278
giovanni fabbian,G13,0.1278
lorenzo lucca,G13,0.1278
federico dimarco,G13,0.1273
gianluca scamacca,G13,0.125
nemanja radonjicc,G13,0.1236
rafael leao,G13,0.1236
nehuen perez,G13,0.1213
matias soule,G13,0.1213
pontus almqvist,G13,0.1128
lorenzo colombo,G13,0.1128
federico gatti,G13,0.105
francesco acerbi,G13,0.105
josip brekalo,G13,0.105
valentin castellanos,G13,0.105
sead kolasinac,G13,0.105
nahitan nandez,G13,0.105
matteo pessina,G13,0.105
reinier,G13,0.105
valentin carboni,G13,0.105
andrea cambiaso,G13,0.1028
lameck banda,G13,0.1023
gleison bremer,G13,0.1023
alberto dossena,G13,0.1023
radu dragusin,G13,0.1023
chukwubuikem ikwuemesi,G13,0.1023
ivan ilic,G13,0.1023
viktor kovalenko,G13,0.1023
tijjani reijnders,G13,0.1023
daniele rugani,G13,0.1023
nicola sansone,G13,0.1023
walace,G13,0.1023
antonio candreva,G13,0.0986
denzel dumfries,G13,0.0986
paulo dybala,G13,0.0986
abdou harroui,G13,0.0986
lucas martinez quarta,G13,0.0986
henrikh mkhitaryan,G13,0.0986
cyril ngonge,G13,0.0986
noah okafor,G13,0.0986
lazar samardzic,G13,0.0986
duvan zapata,G13,0.0986
piotr zielinski,G13,0.0986
francesco caputo,G13,0.0963
lorenzo de silvestri,G13,0.0963
stephan el shaarawy,G13,0.0963
felipe anderson,G13,0.0963
emmanuel quartsin gyasi,G13,0.0963
darko lazovic,G13,0.0963
manuel locatelli,G13,0.0963
sardar azmoun,G13,0.0878
luca caldirola,G13,0.0878
matteo cancellieri,G13,0.0878
marvin cuni,G13,0.0878
eljif elmas,G13,0.0878
fabio miretti,G13,0.0878
roberto pereyra,G13,0.0878
antonio sanabria,G13,0.0878
nikola vlasic,G13,0.0878
gabriele zappa,G13,0.0878
nedim bajrami,G13,0.0736
tommaso baldanzi,G13,0.0736
mattia bani,G13,0.0736
cristiano biraghi,G13,0.0736
davide biraschi,G13,0.0736
federico bonazzoli,G13,0.0736
jovane cabral,G13,0.0736
walid cheddira,G13,0.0736
bryan cristante,G13,0.0736
danilo,G13,0.0736
charles de ketelaere,G13,0.0736
federico di francesco,G13,0.0736
giovanni di lorenzo,G13,0.0736
ondrej duda,G13,0.0736
alfred duncan,G13,0.0736
davide frattesi,G13,0.0736
gianluca gaetano,G13,0.0736
roberto gagliardini,G13,0.0736
theo hernandez,G13,0.0736
jonathan ikone,G13,0.0736
daichi kamada,G13,0.0736
christian kouame,G13,0.0736
armand lauriente,G13,0.0736
pol lirola,G13,0.0736
ruben loftus-cheek,G13,0.0736
lorenzo pellegrini,G13,0.0736
gianluca mancini,G13,0.0736
rolando mandragora,G13,0.0736
junior messias,G13,0.0736
ilario monterisi,G13,0.0736
m'bala nzola,G13,0.0736
remi oudin,G13,0.0736
mario pasalic,G13,0.0736
adrien rabiot,G13,0.0736
hamza rafia,G13,0.0736
renato sanches,G13,0.0736
simone romagnoli,G13,0.0736
perr schuurs,G13,0.0736
giovanni simeone,G13,0.0736
leonardo spinazzola,G13,0.0736
gabriel strefezza,G13,0.0736
morten thorsby,G13,0.0736
fikayo tomori,G13,0.0736
mattia zaccagni,G13,0.0736
nadir zortea,G13,0.0736
leo ostigard,G13,0.0736
alessandro bastoni,G13,0.0486
andrea carboni,G13,0.0486
tammy abraham,G13,0.0486
yacine adli,G13,0.0486
alex sandro,G13,0.0486
amir rrahmani,G13,0.0486
marko arnautovic,G13,0.0486
arthur,G13,0.0486
kristjan asllani,G13,0.0486
tommaso augello,G13,0.0486
milan badelj,G13,0.0486
jaime baez,G13,0.0486
mitchel bakker,G13,0.0486
antonin barak,G13,0.0486
nicolo barella,G13,0.0486
raoul bellanova,G13,0.0486
lucas beltran,G13,0.0486
ismael bennacer,G13,0.0486
sam beukema,G13,0.0486
yann aurel bisseck,G13,0.0486
warren bondo,G13,0.0486
marco brescianini,G13,0.0486
tajon buchanan,G13,0.0486
riccardo calafiori,G13,0.0486
nicolo cambiaghi,G13,0.0486
santiago castro,G13,0.0486
gaetano castrovilli,G13,0.0486
danilo cataldi,G13,0.0486
leonardo cerri,G13,0.0486
samuel chukwueze,G13,0.0486
diego coppola,G13,0.0486
dany mota,G13,0.0486
matteo darmian,G13,0.0486
keinan davis,G13,0.0486
stefan de vrij,G13,0.0486
gregoire defrel,G13,0.0486
alessandro deiola,G13,0.0486
patrick dorgu,G13,0.0486
caleb ekuban,G13,0.0486
oussama el azzouzi,G13,0.0486
martin erlic,G13,0.0486
federico fazio,G13,0.0486
jacopo fazzini,G13,0.0486
gian marco ferrari,G13,0.0486
alessandro florenzi,G13,0.0486
michael folorunsho,G13,0.0486
morten frendrup,G13,0.0486
remo freuler,G13,0.0486
matteo gabbia,G13,0.0486
valentin gendrey,G13,0.0486
lautaro gianetti,G13,0.0486
matteo guendouzi,G13,0.0486
thomas henry,G13,0.0486
emil holm,G13,0.0486
dean huijsen,G13,0.0486
samuel iling-junior,G13,0.0486
gustav isaksen,G13,0.0486
jakub jankto,G13,0.0486
luka jovic,G13,0.0486
juan jesus,G13,0.0486
christian kabasele,G13,0.0486
kaio jorge,G13,0.0486
hassane kamara,G13,0.0486
grigoris kastanos,G13,0.0486
michael kayode,G13,0.0486
kingstone mutandwa,G13,0.0486
luca ranieri,G13,0.0486
gianluca lapadula,G13,0.0486
diego llorente,G13,0.0486
sandi lovric,G13,0.0486
luca pellegrini,G13,0.0486
sebastiano luperto,G13,0.0486
charalambos lykogiannis,G13,0.0486
giulio maggiore,G13,0.0486
daniel maldini,G13,0.0486
ruslan malinovsky,G13,0.0486
mirko maric,G13,0.0486
agustin martegani,G13,0.0486
adam marusic,G13,0.0486
matheus henrique,G13,0.0486
mathias olivera,G13,0.0486
yerry mina,G13,0.0486
aleksey miranchuk,G13,0.0486
nikola moro,G13,0.0486
luis muriel,G13,0.0486
dan ndoye,G13,0.0486
m'baye niang,G13,0.0486
tijjani noslin,G13,0.0486
jens odgaard,G13,0.0486
gaetano oristanio,G13,0.0486
leandro paredes,G13,0.0486
patric,G13,0.0486
leonardo pavoletti,G13,0.0486
martin payero,G13,0.0486
pedro rodriguez,G13,0.0486
pietro pellegri,G13,0.0486
andrea petagna,G13,0.0486
roberto piccoli,G13,0.0486
niccolo pierozzi,G13,0.0486
stefan posch,G13,0.0486
matteo prati,G13,0.0486
rasmus kristensen,G13,0.0486
uros racic,G13,0.0486
ylber ramadani,G13,0.0486
samuele ricci,G13,0.0486
ricardo rodriguez,G13,0.0486
simone bastoni,G13,0.0486
alexis saelemaekers,G13,0.0486
junior sambia,G13,0.0486
alexis sanchez,G13,0.0486
zanos savva,G13,0.0486
giorgio scalvini,G13,0.0486
eldor shomurodov,G13,0.0486
jan-carlo simic,G13,0.0486
simy,G13,0.0486
riccardo sottil,G13,0.0486
isaac success,G13,0.0486
ibrahim sulemana,G13,0.0486
tomas suslov,G13,0.0486
karol swiderski,G13,0.0486
loum tchaouna,G13,0.0486
florian thauvin,G13,0.0486
el bilal toure,G13,0.0486
chaka traore,G13,0.0486
johan vasquez,G13,0.0486
mattia viti,G13,0.0486
vitor oliveira,G13,0.0486
cristian volpato,G13,0.0486
shon weissman,G13,0.0486
kenan yildiz,G13,0.0486
davide zappacosta,G13,0.0486
oier zarraga,G13,0.0486
jordan zemura,G13,0.0486
szymon zurkowski,G13,0.0486
lautaro martinez,G14,0.5625
andrea colpani,G14,0.4115
milan djuric,G14,0.3083
hakan calhanoglu,G14,0.2904
joshua zirkzee,G14,0.2904
eljif elmas,G14,0.2852
matteo politano,G14,0.2681
domenico berardi,G14,0.2592
marcus thuram,G14,0.245
nicolas gonzalez,G14,0.2385
andrea pinamonti,G14,0.2385
albert gudmundsson,G14,0.2323
ademola lookman,G14,0.2323
ederson,G14,0.2236
giacomo raspadori,G14,0.2092
matias soule,G14,0.2092
boulaye dia,G14,0.2005
nikola krstovic,G14,0.1953
romelu lukaku,G14,0.1932
dusan vlahovic,G14,0.1926
ciro immobile,G14,0.19
victor osimhen,G14,0.187
francesco caputo,G14,0.1862
stephan el shaarawy,G14,0.1862
giacomo bonaventura,G14,0.1782
kristian thorstvedt,G14,0.1734
zito luvumbo,G14,0.1701
luca mazzitelli,G14,0.1701
giovanni fabbian,G14,0.1669
olivier giroud,G14,0.1615
luis alberto,G14,0.1492
antonio candreva,G14,0.1465
paulo dybala,G14,0.1465
cyril ngonge,G14,0.1465
alberto dossena,G14,0.1462
federico chiesa,G14,0.1409
riccardo orsolini,G14,0.1409
christian pulisic,G14,0.1409
mateo retegui,G14,0.1409
teun koopmeiners,G14,0.1405
lewis ferguson,G14,0.131
nehuen perez,G14,0.1261
pontus almqvist,G14,0.1239
lorenzo colombo,G14,0.1239
theo hernandez,G14,0.1234
gianluca mancini,G14,0.1234
ilario monterisi,G14,0.1234
remi oudin,G14,0.1234
andrea belotti,G14,0.1178
nemanja radonjicc,G14,0.1178
rafael leao,G14,0.1178
alessandro buongiorno,G14,0.1175
lorenzo lucca,G14,0.1175
gianluca scamacca,G14,0.1154
federico dimarco,G14,0.1089
nicolas viola,G14,0.1079
lorenzo de silvestri,G14,0.103
felipe anderson,G14,0.103
emmanuel quartsin gyasi,G14,0.103
darko lazovic,G14,0.103
manuel locatelli,G14,0.103
sardar azmoun,G14,0.1009
luca caldirola,G14,0.1009
matteo cancellieri,G14,0.1009
marvin cuni,G14,0.1009
fabio miretti,G14,0.1009
roberto pereyra,G14,0.1009
antonio sanabria,G14,0.1009
nikola vlasic,G14,0.1009
gabriele zappa,G14,0.1009
jacopo fazzini,G14,0.1003
grigoris kastanos,G14,0.1003
ruslan malinovsky,G14,0.1003
mirko maric,G14,0.1003
matheus henrique,G14,0.1003
florian thauvin,G14,0.1003
houssem aouar,G14,0.0947
denzel dumfries,G14,0.0947
abdou harroui,G14,0.0947
lucas martinez quarta,G14,0.0947
arkadiusz milik,G14,0.0947
henrikh mkhitaryan,G14,0.0947
noah okafor,G14,0.0947
lazar samardzic,G14,0.0947
matias vecino,G14,0.0947
duvan zapata,G14,0.0947
piotr zielinski,G14,0.0947
andrea cambiaso,G14,0.0944
khvicha kvaratskhelia,G14,0.0923
lameck banda,G14,0.0859
gleison bremer,G14,0.0859
radu dragusin,G14,0.0859
chukwubuikem ikwuemesi,G14,0.0859
ivan ilic,G14,0.0859
viktor kovalenko,G14,0.0859
tijjani reijnders,G14,0.0859
daniele rugani,G14,0.0859
nicola sansone,G14,0.0859
walace,G14,0.0859
federico gatti,G14,0.0716
francesco acerbi,G14,0.0716
nedim bajrami,G14,0.0716
tommaso baldanzi,G14,0.0716
mattia bani,G14,0.0716
cristiano biraghi,G14,0.0716
davide biraschi,G14,0.0716
federico bonazzoli,G14,0.0716
josip brekalo,G14,0.0716
jovane cabral,G14,0.0716
valentin castellanos,G14,0.0716
walid cheddira,G14,0.0716
bryan cristante,G14,0.0716
danilo,G14,0.0716
charles de ketelaere,G14,0.0716
federico di francesco,G14,0.0716
giovanni di lorenzo,G14,0.0716
ondrej duda,G14,0.0716
