Giocatore,Giornata,Pred_Gol_Pesata
romelu lukaku,G4,0.0556
sebastiano luperto,G4,0.0556
charalambos lykogiannis,G4,0.0556
giulio maggiore,G4,0.0556
daniel maldini,G4,0.0556
ruslan malinovsky,G4,0.0556
gianluca mancini,G4,0.0556
mirko maric,G4,0.0556
agustin martegani,G4,0.0556
lucas martinez quarta,G4,0.0556
adam marusic,G4,0.0556
matheus henrique,G4,0.0556
mathias olivera,G4,0.0556
luca mazzitelli,G4,0.0556
junior messias,G4,0.0556
arkadiusz milik,G4,0.0556
yerry mina,G4,0.0556
aleksey miranchuk,G4,0.0556
fabio miretti,G4,0.0556
henrikh mkhitaryan,G4,0.0556
nikola moro,G4,0.0556
luis muriel,G4,0.0556
nahitan nandez,G4,0.0556
dan ndoye,G4,0.0556
m'baye niang,G4,0.0556
tijjani noslin,G4,0.0556
m'bala nzola,G4,0.0556
jens odgaard,G4,0.0556
noah okafor,G4,0.0556
gaetano oristanio,G4,0.0556
riccardo orsolini,G4,0.0556
remi oudin,G4,0.0556
leandro paredes,G4,0.0556
mario pasalic,G4,0.0556
patric,G4,0.0556
leonardo pavoletti,G4,0.0556
martin payero,G4,0.0556
pedro rodriguez,G4,0.0556
pietro pellegri,G4,0.0556
roberto pereyra,G4,0.0556
nehuen perez,G4,0.0556
matteo pessina,G4,0.0556
andrea petagna,G4,0.0556
roberto piccoli,G4,0.0556
niccolo pierozzi,G4,0.0556
stefan posch,G4,0.0556
matteo prati,G4,0.0556
rasmus kristensen,G4,0.0556
uros racic,G4,0.0556
ylber ramadani,G4,0.0556
giacomo raspadori,G4,0.0556
tijjani reijnders,G4,0.0556
reinier,G4,0.0556
renato sanches,G4,0.0556
samuele ricci,G4,0.0556
ricardo rodriguez,G4,0.0556
simone romagnoli,G4,0.0556
daniele rugani,G4,0.0556
simone bastoni,G4,0.0556
alexis saelemaekers,G4,0.0556
junior sambia,G4,0.0556
antonio sanabria,G4,0.0556
alexis sanchez,G4,0.0556
nicola sansone,G4,0.0556
zanos savva,G4,0.0556
giorgio scalvini,G4,0.0556
eldor shomurodov,G4,0.0556
giovanni simeone,G4,0.0556
jan-carlo simic,G4,0.0556
simy,G4,0.0556
riccardo sottil,G4,0.0556
matias soule,G4,0.0556
isaac success,G4,0.0556
ibrahim sulemana,G4,0.0556
tomas suslov,G4,0.0556
karol swiderski,G4,0.0556
loum tchaouna,G4,0.0556
florian thauvin,G4,0.0556
morten thorsby,G4,0.0556
kristian thorstvedt,G4,0.0556
fikayo tomori,G4,0.0556
el bilal toure,G4,0.0556
chaka traore,G4,0.0556
valentin carboni,G4,0.0556
johan vasquez,G4,0.0556
matias vecino,G4,0.0556
nicolas viola,G4,0.0556
mattia viti,G4,0.0556
vitor oliveira,G4,0.0556
nikola vlasic,G4,0.0556
cristian volpato,G4,0.0556
walace,G4,0.0556
shon weissman,G4,0.0556
kenan yildiz,G4,0.0556
mattia zaccagni,G4,0.0556
gabriele zappa,G4,0.0556
davide zappacosta,G4,0.0556
oier zarraga,G4,0.0556
jordan zemura,G4,0.0556
szymon zurkowski,G4,0.0556
leo ostigard,G4,0.0556
federico chiesa,G5,0.88
andrea pinamonti,G5,0.6467
nemanja radonjicc,G5,0.6467
giacomo bonaventura,G5,0.47
matteo politano,G5,0.47
mateo retegui,G5,0.47
domenico berardi,G5,0.4
cyril ngonge,G5,0.4
gianluca scamacca,G5,0.4
lautaro martinez,G5,0.3
mattia bani,G5,0.2711
alessandro buongiorno,G5,0.2711
walid cheddira,G5,0.2711
bryan cristante,G5,0.2711
davide frattesi,G5,0.2711
teun koopmeiners,G5,0.2711
christian kouame,G5,0.2711
pol lirola,G5,0.2711
ademola lookman,G5,0.2711
romelu lukaku,G5,0.2711
gianluca mancini,G5,0.2711
lucas martinez quarta,G5,0.2711
giacomo raspadori,G5,0.2711
renato sanches,G5,0.2711
hakan calhanoglu,G5,0.26
paulo dybala,G5,0.26
luis alberto,G5,0.26
luca mazzitelli,G5,0.26
henrikh mkhitaryan,G5,0.26
rafael leao,G5,0.26
marcus thuram,G5,0.26
olivier giroud,G5,0.24
dusan vlahovic,G5,0.24
