Player,Team,Score_A_normalizzato
Juan Manuel Cruz,Verona,0.03989948475282302
David Ankeye,Genoa,0.023355795952872006
Seydou Fini,Genoa,0.006812107152921002
Simone Pafundi,Udinese,0.004865790823515001
Yayah Kallon,Verona,0.001946316329406
Luigi Canotto,Frosinone,0.001946316329406
Diego Valencia,Salernitana,0.001946316329406
Ola Solbakken,Roma,0.001946316329406
Diego Gonzalez,Lazio,0.001946316329406
Vivaldo Semedo,Udinese,0.001946316329406
Agustin Alvarez,Sassuolo,0.001946316329406
Jeppe Corfitzen,Lecce,0.001946316329406
Till Winkelman,Lecce,0.001946316329406
Flavio Russo,Sassuolo,0.001946316329406
Giacomo Corona,Empoli,0.001946316329406
Matija Popovic,Monza,0.001946316329406
Giorgi Kvernadze,Frosinone,0.001946316329406
Gaston Pereiro,Cagliari,0.001946316329406
Gerard Deulofeu,Udinese,0.001946316329406
Massimo Coda,Genoa,0.001946316329406
Francesco Camarda,AC Milan,0.001946316329406
Siren Diao Balde,Verona,0.001946316329406
Marley Ake,Udinese,0.001946316329406
Gennaro Borrelli,Frosinone,0.001946316329406
Hirving Lozano,Napoli,0.001946316329406
Jacopo Desogus,Cagliari,0.001946316329406
Luigi Cherubini,Roma,0.001946316329406
Sekou Diawara,Udinese,0.001946316329406
Leonardo Cerri,Juventus,0.001946316329406
Joaquin Correa,Inter,0.001946316329406
Soufiane Bidaoui,Frosinone,0.001946316329406
Andrea Ferraris,Monza,0.001946316329406
Joel Voelkerling Persson,Lecce,0.001946316329406
Junior Ajayi,Verona,0.001946316329406
Assan Ceesay,Lecce,0.001946316329406
Alphadjo Cisse,Verona,0.001946316329406
Erik Botheim,Salernitana,0.0
