Player,Team,Score,Role
luis muriel,Atalanta,0.9420171034325044,A
simy,Salernitana,0.8106407511975994,A
andrea petagna,Cagliari,0.7527378403977708,A
thomas henry,Verona,0.6928886132685363,A
karol swiderski,Verona,0.6520159703510102,A
junior messias,Genoa,0.6072506947746723,A
el bilal toure,Atalanta,0.6048177993629147,A
nemanja radonjic,Torino,0.6033580621158604,A
jovane cabral,Salernitana,0.4826864496926881,A
jens odgaard,Bologna,0.4797669751985791,A
emmanuel ekong,Empoli,0.4593306537398162,A
vitor oliveira,Genoa,0.4525185465868952,A
jaime baez,Frosinone,0.4062935337635026,A
samuel castillejo,Sassuolo,0.3756390515753581,A
josip brekalo,Fiorentina,0.3347664086578322,A
mirko maric,Monza,0.3308737759990202,A
gianluca caprari,Monza,0.3240616688460991,A
rares burnete,Lecce,0.3114106127049601,A
tammy abraham,Roma,0.3050850846343906,A
santiago castro,Bologna,0.2919474494109001,A
shon weissman,Salernitana,0.2705379697874341,A
beto,Udinese,0.2656721789639191,A
keinan davis,Udinese,0.2510748064933741,A
stiven shpendi,Empoli,0.2072826890817391,A
zanos savva,Torino,0.2014437400935211,A
santiago pierotti,Lecce,0.1965779492700061,A
jesper karlsson,Bologna,0.1849000512935701,A
chaka traore,AC Milan,0.177114785975946,A
joao costa,Roma,0.174195311481837,A
federico di francesco,Lecce,0.172248995152431,A
kingstone mutandwa,Cagliari,0.172248995152431,A
george puscas,Genoa,0.14597372470545,A
emil konradsen ceide,Sassuolo,0.133322668564311,A
stefan mitrovic,Verona,0.123591086917281,A
jordi mboula,Verona,0.1211581915055235,A
david okereke,Torino,0.11677897976436,A
andres sfait,Salernitana,0.105101081787924,A
giuseppe caso,Frosinone,0.1046145027055725,A
brenner da silva,Udinese,0.084664760329161,A
mattia destro,Empoli,0.080772127670349,A
sydney van hooijdonk,Bologna,0.07785265317624,A
fares ghedjemis,Frosinone,0.06812107152921,A
yann karamoh,Torino,0.053523699058665,A
trivante stewart,Salernitana,0.043792117411635,A
juan manuel cruz,Verona,0.039899484752823,A
david ankeye,Genoa,0.023355795952872,A
seydou fini,Genoa,0.006812107152921,A
simone pafundi,Udinese,0.004865790823515,A
yayah kallon,Verona,0.001946316329406,A
luigi canotto,Frosinone,0.001946316329406,A
diego valencia,Salernitana,0.001946316329406,A
ola solbakken,Roma,0.001946316329406,A
diego gonzalez,Lazio,0.001946316329406,A
vivaldo semedo,Udinese,0.001946316329406,A
agustin alvarez,Sassuolo,0.001946316329406,A
jeppe corfitzen,Lecce,0.001946316329406,A
till winkelman,Lecce,0.001946316329406,A
flavio russo,Sassuolo,0.001946316329406,A
giacomo corona,Empoli,0.001946316329406,A
matija popovic,Monza,0.001946316329406,A
giorgi kvernadze,Frosinone,0.001946316329406,A
gaston pereiro,Cagliari,0.001946316329406,A
gerard deulofeu,Udinese,0.001946316329406,A
massimo coda,Genoa,0.001946316329406,A
francesco camarda,AC Milan,0.001946316329406,A
siren diao balde,Verona,0.001946316329406,A
marley ake,Udinese,0.001946316329406,A
gennaro borrelli,Frosinone,0.001946316329406,A
hirving lozano,Napoli,0.001946316329406,A
jacopo desogus,Cagliari,0.001946316329406,A
luigi cherubini,Roma,0.001946316329406,A
sekou diawara,Udinese,0.001946316329406,A
leonardo cerri,Juventus,0.001946316329406,A
joaquin correa,Inter,0.001946316329406,A
soufiane bidaoui,Frosinone,0.001946316329406,A
andrea ferraris,Monza,0.001946316329406,A
joel voelkerling persson,Lecce,0.001946316329406,A
junior ajayi,Verona,0.001946316329406,A
assan ceesay,Lecce,0.001946316329406,A
alphadjo cisse,Verona,0.001946316329406,A
erik botheim,Salernitana,0.0,A
