Player,Team,Score,Role
matteo lovato,Torino,7.10320062148768,D
jaka bijol,Udinese,7.025523494026534,D
antonino gallo,Lecce,6.977015237149951,D
giorgos kyriakopoulos,Monza,6.976558669261159,D
fabiano parisi,Fiorentina,6.9553786706947465,D
valentin gendrey,Lecce,6.937158063555627,D
mario rui,Napoli,6.932105815486654,D
ilario monterisi,Frosinone,6.912791151071648,D
simone romagnoli,Frosinone,6.898804254207093,D
adam masina,Torino,6.883690278339764,D
hassane kamara,Udinese,6.871374291008642,D
radu dragusin,Genoa,6.867182714528568,D
domagoj bradaric,Salernitana,6.857367634409743,D
martin erlic,Sassuolo,6.787276709338567,D
joao ferreira,Udinese,6.761606872714297,D
tommaso augello,Cagliari,6.746085950384821,D
leonardo spinazzola,Roma,6.736114353372167,D
bartosz bereszynski,Empoli,6.639543214132272,D
pedro pereira,Monza,6.607693377818447,D
gian marco ferrari,Sassuolo,6.584827075654534,D
diego coppola,Verona,6.583032480590638,D
mattia bani,Genoa,6.548788962495147,D
gabriele zappa,Cagliari,6.522191801664897,D
jeremy toljan,Sassuolo,6.520620198439282,D
ruan tressoldi,Sassuolo,6.502189011163993,D
pol lirola,Frosinone,6.493775590402681,D
rasmus kristensen,Roma,6.474366201095471,D
lorenzo pirola,Salernitana,6.442527228193719,D
juan cabal,Verona,6.364828627726462,D
nadir zortea,Frosinone,6.350066139079727,D
patrick dorgu,Lecce,6.347285600533715,D
liberato cacace,Empoli,6.343392399849546,D
charalambos lykogiannis,Bologna,6.339405603763447,D
marcus holmgren pedersen,Sassuolo,6.129507286303051,D
pasquale mazzocchi,Napoli,6.125828168443989,D
mateusz wieteska,Cagliari,6.115944900108951,D
hans hateboer,Atalanta,6.068035780713746,D
alessandro vogliacco,Genoa,5.9390049184846925,D
filippo terracciano,AC Milan,5.935084064325161,D
marco davide faraoni,Verona,5.908289065024308,D
norbert gyomber,Salernitana,5.880740505347071,D
luca pellegrini,Lazio,5.765148508763369,D
aaron caricol,Genoa,5.60883295609056,D
paulo azzi,Cagliari,5.589455014838396,D
festy ebosele,Udinese,5.552815314853555,D
jordan zemura,Udinese,5.511032956814196,D
josh doig,Sassuolo,5.493828332522123,D
alessandro zanoli,Salernitana,5.317493567321279,D
kingsley ehizibue,Udinese,5.274571731267931,D
emil holm,Atalanta,5.2456772126018665,D
stefano sabelli,Genoa,5.213741826917952,D
giuseppe pezzella,Empoli,4.995789291985225,D
yann aurel bisseck,Inter,1.2174509156110744,D
lorenzo de silvestri,Bologna,0.9947941171410276,D
brandon soppy,Torino,0.9466169151328888,D
alessandro dellavalle,Torino,0.9388043958883258,D
david zima,Torino,0.9388043958883258,D
wilfried singo,Torino,0.9388043958883258,D
brian bayeye,Torino,0.9388043958883258,D
perr schuurs,Torino,0.914064751613876,D
koffi djidji,Torino,0.8893251073394265,D
adama soumaoro,Bologna,0.8867209342579054,D
mihajlo ilic,Bologna,0.8867209342579054,D
daniele rugani,Juventus,0.8867209342579054,D
alex sandro,Juventus,0.8828146746356241,D
tommaso corazza,Bologna,0.8710958957687793,D
saba sazonov,Torino,0.8541687707388927,D
mattia de sciglio,Juventus,0.8346374726274851,D
tiago djalo,Juventus,0.8346374726274851,D
mitchel bakker,Atalanta,0.76953314558946,D
giovanni bonfanti,Atalanta,0.7317726359074052,D
jose luis palomino,Atalanta,0.7304705493666446,D
jan-carlo simic,AC Milan,0.6861996069807874,D
giulio donati,Monza,0.6861996069807874,D
dimitrije kamenovic,Lazio,0.6783870877362242,D
rick karsdorp,Roma,0.6666683088693798,D
matteo gabbia,AC Milan,0.6653662223286194,D
pierre kalulu,AC Milan,0.6367203184318881,D
mattia caldara,AC Milan,0.6289077991873252,D
valentin antov,Monza,0.626303626105804,D
mario sampirisi,Monza,0.626303626105804,D
clinton nsiala-makengo,AC Milan,0.626303626105804,D
davide bartesaghi,AC Milan,0.626303626105804,D
armando anastasio,Monza,0.626303626105804,D
davide bettella,Monza,0.626303626105804,D
alejandro jimenez,AC Milan,0.6197931934020015,D
rafael toloi,Atalanta,0.5937514625867915,D
chris smalling,Roma,0.5768243375569049,D
lovro golic,Roma,0.5742201644753837,D
mehmet zeki celik,Roma,0.5716159913938628,D
angelino,Roma,0.5638034721492998,D
tyronne ebuehi,Empoli,0.5442721740378921,D
riccardo marchizza,Frosinone,0.5234387893857239,D
dean huijsen,Roma,0.520834616304203,D
ridgeciano haps,Genoa,0.4817720200813876,D
davide biraschi,Genoa,0.4713553277553036,D
luca marianucci,Empoli,0.4700532412145431,D
petar stojanovic,Empoli,0.4700532412145431,D
saba goglichidze,Empoli,0.4700532412145431,D
antonio tikvic,Udinese,0.4700532412145431,D
axel guessand,Udinese,0.4700532412145431,D
james abankwah,Udinese,0.4700532412145431,D
gabriele guarino,Empoli,0.4700532412145431,D
enzo ebosse,Udinese,0.4700532412145431,D
samuel john nwachukwu,Udinese,0.4700532412145431,D
dodo,Fiorentina,0.4492198565623751,D
ruben vinagre,Verona,0.4427094238585724,D
fabien centonze,Verona,0.4388031642362908,D
alan matturro,Genoa,0.4192718661248834,D
nicolo calabrese,Verona,0.4179697795841228,D
denis cazzadori,Verona,0.4179697795841228,D
silvan hefti,Genoa,0.4179697795841228,D
federico ceccherini,Verona,0.4179697795841228,D
christian dalle mura,Fiorentina,0.4179697795841228,D
christian corradi,Verona,0.4179697795841228,D
djed spence,Genoa,0.4075530872580387,D
christian kabasele,Udinese,0.3971363949319547,D
giorgio cittadini,Genoa,0.3919280487689127,D
pietro comuzzo,Fiorentina,0.3919280487689127,D
bruno amione,Verona,0.372396750657505,D
kastriot dermaku,Lecce,0.3658863179537025,D
mats lemmens,Lecce,0.3658863179537025,D
zinedin smajlovic,Lecce,0.3658863179537025,D
lautaro gianetti,Udinese,0.3606779717906606,D
ahmed touba,Lecce,0.3398445871384924,D
lorenzo venuti,Lecce,0.3320320678939293,D
emanuele valeri,Frosinone,0.3307299813531688,D
kevin bonifazi,Frosinone,0.3164070294048032,D
sergio kalaj,Frosinone,0.3138028563232822,D
przemyslaw szyminski,Frosinone,0.3138028563232822,D
anthony oyono,Frosinone,0.2838548658857905,D
mateus lusuardi,Frosinone,0.2630214812336224,D
elio capradossi,Cagliari,0.261719394692862,D
giorgio altare,Cagliari,0.261719394692862,D
natan,Napoli,0.2617193946928619,D
adam obert,Cagliari,0.2539068754482989,D
pantelis hatzidiakos,Cagliari,0.2317714042553702,D
alessandro di pardo,Cagliari,0.2304693177146098,D
yerry mina,Cagliari,0.2291672311738492,D
matias vina,Sassuolo,0.2018234138178786,D
gerardo fusco,Salernitana,0.1888025484102735,D
edoardo goldaniga,Cagliari,0.1744795964619079,D
filippo missori,Sassuolo,0.1718754233803869,D
kevin miranda,Sassuolo,0.1575524714320214,D
mattia viti,Sassuolo,0.1341149136983322,D
jerome boateng,Salernitana,0.1119794425054036,D
konstantinos manolas,Salernitana,0.1093752694238826,D
dylan bronn,Salernitana,0.1054690098016011,D
emanuele elia,Salernitana,0.1054690098016011,D
marash kumbulla,Sassuolo,0.1054690098016011,D
flavius daniliuc,Salernitana,0.0664064135787858,D
marco pellegrino,Salernitana,0.0559897212527018,D
triantafyllos pasalidis,Salernitana,0.0351563366005336,D
niccolo pierozzi,Salernitana,0.0065104327038025,D
federico fazio,Salernitana,0.0,D
hakan calhanoglu,Inter,10.0,C
teun koopmeiners,Atalanta,8.678701709568648,C
luis alberto,Lazio,8.240300382518294,C
antonio candreva,Salernitana,7.790139201923737,C
matteo pessina,Monza,7.662182403895132,C
andrea colpani,Monza,7.61769439252209,C
arthur,Fiorentina,7.412418368645463,C
lazar samardzic,Udinese,7.407761092758207,C
tijjani reijnders,AC Milan,7.374313759986805,C
mario pasalic,Atalanta,7.367436611029462,C
giacomo bonaventura,Fiorentina,7.352489920977727,C
nicolo barella,Inter,7.30139511463939,C
ivan ilic,Torino,7.26598725773892,C
henrikh mkhitaryan,Inter,7.13269955127861,C
piotr zielinski,Napoli,7.109329410033326,C
felipe anderson,Lazio,7.096368092898793,C
lewis ferguson,Bologna,7.006488504037295,C
lorenzo pellegrini,Roma,6.794004829979079,C
adrien rabiot,Juventus,6.522715758283561,C
leandro paredes,Roma,6.499368223675822,C
andre-frank zambo anguissa,Napoli,6.45236427250458,C
yacine adli,AC Milan,6.420345786191055,C
bryan cristante,Roma,6.310263186350888,C
ondrej duda,Verona,6.210522907200916,C
alfred duncan,Fiorentina,6.12211604101011,C
remi oudin,Lecce,6.116096360374965,C
weston mckennie,Juventus,6.097838219611646,C
stanislav lobotka,Napoli,6.096000622931142,C
mattia zaccagni,Lazio,6.070135070936132,C
ederson,Atalanta,6.047737755632112,C
manuel locatelli,Juventus,5.967907033146688,C
kristian thorstvedt,Sassuolo,5.888013530444892,C
ruben loftus-cheek,AC Milan,5.879509444111052,C
matheus henrique,Sassuolo,5.833697267971192,C
daichi kamada,Lazio,5.799796794509621,C
remo freuler,Bologna,5.781805983920597,C
sandi lovric,Udinese,5.777792164110744,C
roberto gagliardini,Monza,5.703664855606901,C
ismael bennacer,AC Milan,5.675288074386936,C
filip kostic,Juventus,5.556861424282179,C
matteo guendouzi,Lazio,5.549007973021652,C
nicolas viola,Cagliari,5.512699491542781,C
marco brescianini,Frosinone,5.463870326944722,C
samuele ricci,Torino,5.446372192948832,C
roberto pereyra,Udinese,5.441680791118274,C
kristjan asllani,Inter,5.402988430453615,C
marten de roon,Atalanta,5.402941797835493,C
nahitan nandez,Cagliari,5.381050385756043,C
razvan marin,Empoli,5.358576940183092,C
valentin carboni,Monza,5.343029826889025,C
davide frattesi,Inter,5.335925583046782,C
michel aebischer,Bologna,5.320367732114135,C
tomas suslov,Verona,5.303053228194105,C
matias vecino,Lazio,5.286469109969563,C
enzo barrenechea,Frosinone,5.240230513814849,C
maxime lopez,Fiorentina,5.20438778255191,C
grigoris kastanos,Salernitana,5.199983499417313,C
milan badelj,Genoa,5.165731358007172,C
rolando mandragora,Fiorentina,5.139622049274291,C
luca mazzitelli,Frosinone,5.103031036251568,C
walace,Udinese,5.077038771893244,C
davide zappacosta,Atalanta,4.999450385124126,C
giulio maggiore,Salernitana,4.967073278138196,C
loum tchaouna,Salernitana,4.941976783793706,C
daniel boloca,Sassuolo,4.913681275389887,C
antoine makoumbou,Cagliari,4.907186937647034,C
gianluca gaetano,Cagliari,4.906114284579282,C
antonin barak,Fiorentina,4.893110304873073,C
nedim bajrami,Sassuolo,4.888083197560489,C
jonathan ikone,Fiorentina,4.864263515408084,C
giovanni fabbian,Bologna,4.861222912373084,C
morten frendrup,Genoa,4.843752013307233,C
nicolo rovella,Lazio,4.828671143913633,C
francesco gelli,Frosinone,4.827520982374294,C
edoardo bove,Roma,4.795176993392412,C
yunus musah,AC Milan,4.67621181574357,C
ruslan malinovsky,Genoa,4.67047454323114,C
adrien tameze,Torino,4.664350715729848,C
danilo cataldi,Lazio,4.618573076937065,C
