Player,Team,Score_D_normalizzato
Mattia De Sciglio,Juventus,0.8346374726274851
Tiago Djalo,Juventus,0.8346374726274851
Mitchel Bakker,Atalanta,0.76953314558946
Giovanni Bonfanti,Atalanta,0.7317726359074052
Jose Luis Palomino,Atalanta,0.7304705493666446
Jan-Carlo Simic,AC Milan,0.6861996069807874
Giulio Donati,Monza,0.6861996069807874
Dimitrije Kamenovic,Lazio,0.6783870877362242
Rick Karsdorp,Roma,0.6666683088693798
Matteo Gabbia,AC Milan,0.6653662223286194
Pierre Kalulu,AC Milan,0.6367203184318881
Mattia Caldara,AC Milan,0.6289077991873252
Valentin Antov,Monza,0.626303626105804
Mario Sampirisi,Monza,0.626303626105804
Clinton Nsiala-Makengo,AC Milan,0.626303626105804
Davide Bartesaghi,AC Milan,0.626303626105804
Armando Anastasio,Monza,0.626303626105804
Davide Bettella,Monza,0.626303626105804
Alejandro Jimenez,AC Milan,0.6197931934020015
Rafael Toloi,Atalanta,0.5937514625867915
Chris Smalling,Roma,0.5768243375569049
Lovro Golic,Roma,0.5742201644753837
Mehmet Zeki Celik,Roma,0.5716159913938628
Angelino,Roma,0.5638034721492998
Tyronne Ebuehi,Empoli,0.5442721740378921
Riccardo Marchizza,Frosinone,0.5234387893857239
Dean Huijsen,Roma,0.520834616304203
Ridgeciano Haps,Genoa,0.4817720200813876
Davide Biraschi,Genoa,0.47135532775530364
Luca Marianucci,Empoli,0.4700532412145431
Petar Stojanovic,Empoli,0.4700532412145431
Saba Goglichidze,Empoli,0.4700532412145431
Antonio Tikvic,Udinese,0.4700532412145431
Axel Guessand,Udinese,0.4700532412145431
James Abankwah,Udinese,0.4700532412145431
Gabriele Guarino,Empoli,0.4700532412145431
Enzo Ebosse,Udinese,0.4700532412145431
Samuel John Nwachukwu,Udinese,0.4700532412145431
Dodo,Fiorentina,0.4492198565623751
Ruben Vinagre,Verona,0.4427094238585724
Fabien Centonze,Verona,0.43880316423629084
Alan Matturro,Genoa,0.4192718661248834
Nicolo Calabrese,Verona,0.41796977958412285
Denis Cazzadori,Verona,0.41796977958412285
Silvan Hefti,Genoa,0.41796977958412285
Federico Ceccherini,Verona,0.41796977958412285
Christian Dalle Mura,Fiorentina,0.41796977958412285
Christian Corradi,Verona,0.41796977958412285
Djed Spence,Genoa,0.40755308725803874
Christian Kabasele,Udinese,0.3971363949319547
Giorgio Cittadini,Genoa,0.3919280487689127
Pietro Comuzzo,Fiorentina,0.3919280487689127
Bruno Amione,Verona,0.37239675065750505
Kastriot Dermaku,Lecce,0.3658863179537025
Mats Lemmens,Lecce,0.3658863179537025
Zinedin Smajlovic,Lecce,0.3658863179537025
