Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata
alex sandro,G20,Juventus,D,0.8828146746356241,0.0,0.0486
tommaso corazza,G20,Bologna,D,0.8710958957687793,0.0,0.0
saba sazonov,G20,Torino,D,0.8541687707388927,0.0,0.0
mattia de sciglio,G20,Juventus,D,0.8346374726274851,0.0,0.0
tiago djalo,G20,Juventus,D,0.8346374726274851,0.0,0.0
mitchel bakker,G20,Atalanta,D,0.76953314558946,0.0,0.0486
giovanni bonfanti,G20,Atalanta,D,0.7317726359074052,0.0,0.0
jose luis palomino,G20,Atalanta,D,0.7304705493666446,0.0,0.0
jan-carlo simic,G20,AC Milan,D,0.6861996069807874,0.0416,0.09
giulio donati,G20,Monza,D,0.6861996069807874,0.0,0.0
dimitrije kamenovic,G20,Lazio,D,0.6783870877362242,0.0,0.0
rick karsdorp,G20,Roma,D,0.6666683088693798,0.0,0.0
matteo gabbia,G20,AC Milan,D,0.6653662223286194,0.0,0.0486
pierre kalulu,G20,AC Milan,D,0.6367203184318881,0.0,0.0
mattia caldara,G20,AC Milan,D,0.6289077991873252,0.0,0.0
valentin antov,G20,Monza,D,0.626303626105804,0.0,0.0
mario sampirisi,G20,Monza,D,0.626303626105804,0.0,0.0
clinton nsiala-makengo,G20,AC Milan,D,0.626303626105804,0.0,0.0
davide bartesaghi,G20,AC Milan,D,0.626303626105804,0.0,0.0
armando anastasio,G20,Monza,D,0.626303626105804,0.0,0.0
davide bettella,G20,Monza,D,0.626303626105804,0.0,0.0
alejandro jimenez,G20,AC Milan,D,0.6197931934020015,0.0,0.0
rafael toloi,G20,Atalanta,D,0.5937514625867915,0.0,0.0
chris smalling,G20,Roma,D,0.5768243375569049,0.0,0.0
lovro golic,G20,Roma,D,0.5742201644753837,0.0,0.0
mehmet zeki celik,G20,Roma,D,0.5716159913938628,0.0,0.0
angelino,G20,Roma,D,0.5638034721492998,0.0,0.0
tyronne ebuehi,G20,Empoli,D,0.5442721740378921,0.0,0.0
riccardo marchizza,G20,Frosinone,D,0.5234387893857239,0.0,0.0
dean huijsen,G20,Roma,D,0.520834616304203,0.0,0.0486
ridgeciano haps,G20,Genoa,D,0.4817720200813876,0.0,0.0
davide biraschi,G20,Genoa,D,0.4713553277553036,0.0277,0.0673
luca marianucci,G20,Empoli,D,0.4700532412145431,0.0,0.0
petar stojanovic,G20,Empoli,D,0.4700532412145431,0.0,0.0
saba goglichidze,G20,Empoli,D,0.4700532412145431,0.0,0.0
antonio tikvic,G20,Udinese,D,0.4700532412145431,0.0,0.0
axel guessand,G20,Udinese,D,0.4700532412145431,0.0,0.0
james abankwah,G20,Udinese,D,0.4700532412145431,0.0,0.0
gabriele guarino,G20,Empoli,D,0.4700532412145431,0.0,0.0
enzo ebosse,G20,Udinese,D,0.4700532412145431,0.0,0.0
samuel john nwachukwu,G20,Udinese,D,0.4700532412145431,0.0,0.0
dodo,G20,Fiorentina,D,0.4492198565623751,0.0,0.0
ruben vinagre,G20,Verona,D,0.4427094238585724,0.0,0.0
fabien centonze,G20,Verona,D,0.4388031642362908,0.0,0.0
alan matturro,G20,Genoa,D,0.4192718661248834,0.0,0.0
nicolo calabrese,G20,Verona,D,0.4179697795841228,0.0,0.0
denis cazzadori,G20,Verona,D,0.4179697795841228,0.0,0.0
silvan hefti,G20,Genoa,D,0.4179697795841228,0.0,0.0
federico ceccherini,G20,Verona,D,0.4179697795841228,0.0,0.0
christian dalle mura,G20,Fiorentina,D,0.4179697795841228,0.0,0.0
christian corradi,G20,Verona,D,0.4179697795841228,0.0,0.0
djed spence,G20,Genoa,D,0.4075530872580387,0.0,0.0
christian kabasele,G20,Udinese,D,0.3971363949319547,0.0416,0.0673
giorgio cittadini,G20,Genoa,D,0.3919280487689127,0.0,0.0
pietro comuzzo,G20,Fiorentina,D,0.3919280487689127,0.0,0.0
bruno amione,G20,Verona,D,0.372396750657505,0.0,0.0
kastriot dermaku,G20,Lecce,D,0.3658863179537025,0.0,0.0
mats lemmens,G20,Lecce,D,0.3658863179537025,0.0,0.0
zinedin smajlovic,G20,Lecce,D,0.3658863179537025,0.0,0.0
lautaro gianetti,G20,Udinese,D,0.3606779717906606,0.0,0.0486
ahmed touba,G20,Lecce,D,0.3398445871384924,0.0,0.0
lorenzo venuti,G20,Lecce,D,0.3320320678939293,0.0,0.0
emanuele valeri,G20,Frosinone,D,0.3307299813531688,0.0,0.0
kevin bonifazi,G20,Frosinone,D,0.3164070294048032,0.0,0.0
sergio kalaj,G20,Frosinone,D,0.3138028563232822,0.0,0.0
przemyslaw szyminski,G20,Frosinone,D,0.3138028563232822,0.0,0.0
anthony oyono,G20,Frosinone,D,0.2838548658857905,0.0,0.0
mateus lusuardi,G20,Frosinone,D,0.2630214812336224,0.0,0.0
elio capradossi,G20,Cagliari,D,0.261719394692862,0.0,0.0
giorgio altare,G20,Cagliari,D,0.261719394692862,0.0,0.0
natan,G20,Napoli,D,0.2617193946928619,0.0,0.0
adam obert,G20,Cagliari,D,0.2539068754482989,0.0,0.0
pantelis hatzidiakos,G20,Cagliari,D,0.2317714042553702,0.0,0.0
alessandro di pardo,G20,Cagliari,D,0.2304693177146098,0.0,0.0
yerry mina,G20,Cagliari,D,0.2291672311738492,0.0,0.0486
matias vina,G20,Sassuolo,D,0.2018234138178786,0.0,0.0
gerardo fusco,G20,Salernitana,D,0.1888025484102735,0.0,0.0
edoardo goldaniga,G20,Cagliari,D,0.1744795964619079,0.0,0.0
filippo missori,G20,Sassuolo,D,0.1718754233803869,0.0,0.0
kevin miranda,G20,Sassuolo,D,0.1575524714320214,0.0,0.0
mattia viti,G20,Sassuolo,D,0.1341149136983322,0.0,0.0486
jerome boateng,G20,Salernitana,D,0.1119794425054036,0.0,0.0
konstantinos manolas,G20,Salernitana,D,0.1093752694238826,0.0,0.0
dylan bronn,G20,Salernitana,D,0.1054690098016011,0.0,0.0
emanuele elia,G20,Salernitana,D,0.1054690098016011,0.0,0.0
marash kumbulla,G20,Sassuolo,D,0.1054690098016011,0.0,0.0
flavius daniliuc,G20,Salernitana,D,0.0664064135787858,0.0,0.0
marco pellegrino,G20,Salernitana,D,0.0559897212527018,0.0,0.0
triantafyllos pasalidis,G20,Salernitana,D,0.0351563366005336,0.0,0.0
niccolo pierozzi,G20,Salernitana,D,0.0065104327038025,0.0,0.0486
federico fazio,G20,Salernitana,D,0.0,0.0416,0.0965
alessandro bastoni,G21,Inter,D,10.0,0.0,0.0486
riccardo calafiori,G21,Bologna,D,9.86333894871479,0.0,0.0486
francesco acerbi,G21,Inter,D,9.84008919094826,0.0396,0.0652
jhon lucumi,G21,Bologna,D,9.72241772662444,0.0,0.0
amir rrahmani,G21,Napoli,D,9.582109297425967,0.1109,0.0939
giovanni di lorenzo,G21,Napoli,D,9.479550247988536,0.0396,0.0652
gleison bremer,G21,Juventus,D,9.422335055170183,0.0396,0.0652
raoul bellanova,G21,Torino,D,9.29246589541238,0.0,0.0486
benjamin pavard,G21,Inter,D,9.161980795419009,0.0,0.0
danilo,G21,Juventus,D,9.037308864594127,0.0396,0.0652
federico dimarco,G21,Inter,D,9.02296243447714,0.1459,0.0986
stefan de vrij,G21,Inter,D,8.925405224846113,0.0,0.0486
carlos augusto,G21,Inter,D,8.892410542266768,0.0,0.0
andrea cambiaso,G21,Juventus,D,8.790382683221633,0.0396,0.0652
pablo mari,G21,Monza,D,8.778438869281295,0.0,0.0
theo hernandez,G21,AC Milan,D,8.617644532326231,0.2218,0.1273
sam beukema,G21,Bologna,D,8.608735646061627,0.0,0.0486
alessio romagnoli,G21,Lazio,D,8.571252914841601,0.0,0.0
diego llorente,G21,Roma,D,8.54083732812151,0.0,0.0486
berat djimsiti,G21,Atalanta,D,8.511483157677478,0.0,0.0
gianluca mancini,G21,Roma,D,8.507971483578835,0.0879,0.0819
fikayo tomori,G21,AC Milan,D,8.49199394259696,0.1459,0.1213
ricardo rodriguez,G21,Torino,D,8.475810136385581,0.0,0.0486
stefan posch,G21,Bologna,D,8.350961345151035,0.0,0.0486
marin pongracic,G21,Lecce,D,8.323678824851514,0.0,0.0
armando izzo,G21,Monza,D,8.306744275643984,0.0,0.0
adam marusic,G21,Lazio,D,8.253466333630493,0.0,0.0486
patric,G21,Lazio,D,8.192105518088058,0.0396,0.0944
victor kristiansen,G21,Bologna,D,8.183824831470309,0.0,0.0
nicolo casale,G21,Lazio,D,8.158382669627143,0.0,0.0
lucas martinez quarta,G21,Fiorentina,D,8.154400264593122,0.1167,0.0986
sebastiano luperto,G21,Empoli,D,8.13698629118237,0.0,0.0486
federico gatti,G21,Juventus,D,8.095254772896249,0.1167,0.0986
mario gila,G21,Lazio,D,8.083206081342139,0.0,0.0
alessandro buongiorno,G21,Torino,D,8.048149317558359,0.1459,0.1128
luca caldirola,G21,Monza,D,8.040071088899527,0.0396,0.0652
evan n'dicka,G21,Roma,D,7.998016955194764,0.0,0.0
giorgio scalvini,G21,Atalanta,D,7.94651731312706,0.0,0.0486
matteo darmian,G21,Inter,D,7.926289056061991,0.0,0.0486
juan jesus,G21,Napoli,D,7.896534639952048,0.0,0.0486
alessandro florenzi,G21,AC Milan,D,7.843373746127305,0.0,0.0486
malick thiaw,G21,AC Milan,D,7.783791103621634,0.0,0.0
luca ranieri,G21,Fiorentina,D,7.760450326706265,0.0396,0.0944
alberto dossena,G21,Cagliari,D,7.719904341717335,0.0659,0.0819
nehuen perez,G21,Udinese,D,7.698919529223019,0.0879,0.0819
federico baschirotto,G21,Lecce,D,7.677065440708275,0.0,0.0
nikola milenkovic,G21,Fiorentina,D,7.646326908606096,0.0,0.0
cristiano biraghi,G21,Fiorentina,D,7.6193473962816975,0.0264,0.0652
isak hien,G21,Atalanta,D,7.594731336010501,0.0,0.0
davide calabria,G21,AC Milan,D,7.580463754467372,0.0,0.0
danilo d'ambrosio,G21,Monza,D,7.561162631244754,0.0,0.0
sebastian walukiewicz,G21,Empoli,D,7.558641888152695,0.0,0.0
valentino lazaro,G21,Torino,D,7.532585258218588,0.0,0.0
leo stigard,G21,Napoli,D,7.53023009332436,0.0,0.0
sead kolasinac,G21,Atalanta,D,7.524615117971723,0.0396,0.0652
andrea carboni,G21,Monza,D,7.4922497391477085,0.0,0.0486
denzel dumfries,G21,Inter,D,7.454375645893141,0.0879,0.0819
mathias olivera,G21,Napoli,D,7.444070785795101,0.0,0.0486
michael kayode,G21,Fiorentina,D,7.440304494130499,0.0,0.0486
mergim vojvoda,G21,Torino,D,7.430012109189082,0.0,0.0
samuele birindelli,G21,Monza,D,7.428967495667219,0.0,0.0
matteo ruggeri,G21,Atalanta,D,7.3791469233828995,0.0,0.0
pawel dawidowicz,G21,Verona,D,7.352442397522099,0.0,0.0
memeh caleb okoli,G21,Frosinone,D,7.312237226705216,0.0,0.0
ardian ismajli,G21,Empoli,D,7.281676608357567,0.0,0.0
koni de winter,G21,Genoa,D,7.265257347842184,0.0,0.0
elseid hysaj,G21,Lazio,D,7.241908296458741,0.0,0.0
johan vasquez,G21,Genoa,D,7.198020340112135,0.0,0.0486
thomas kristensen,G21,Udinese,D,7.168827623322794,0.0,0.0
simon kjr,G21,AC Milan,D,7.151062264218666,0.0,0.0
giangiacomo magnani,G21,Verona,D,7.1264186773811256,0.0,0.0
matteo lovato,G21,Torino,D,7.10320062148768,0.0,0.0
jaka bijol,G21,Udinese,D,7.025523494026534,0.0,0.0
antonino gallo,G21,Lecce,D,6.977015237149951,0.0,0.0
giorgos kyriakopoulos,G21,Monza,D,6.976558669261159,0.0,0.0
fabiano parisi,G21,Fiorentina,D,6.9553786706947465,0.0,0.0
valentin gendrey,G21,Lecce,D,6.937158063555627,0.0396,0.0794
mario rui,G21,Napoli,D,6.932105815486654,0.0,0.0
ilario monterisi,G21,Frosinone,D,6.912791151071648,0.0879,0.0819
simone romagnoli,G21,Frosinone,D,6.898804254207093,0.0396,0.0652
adam masina,G21,Torino,D,6.883690278339764,0.0,0.0
hassane kamara,G21,Udinese,D,6.871374291008642,0.0,0.0486
radu dragusin,G21,Genoa,D,6.867182714528568,0.0879,0.1111
domagoj bradaric,G21,Salernitana,D,6.857367634409743,0.0,0.0
martin erlic,G21,Sassuolo,D,6.787276709338567,0.0396,0.0652
joao ferreira,G21,Udinese,D,6.761606872714297,0.0,0.0
tommaso augello,G21,Cagliari,D,6.746085950384821,0.0,0.0486
leonardo spinazzola,G21,Roma,D,6.736114353372167,0.0396,0.0652
bartosz bereszynski,G21,Empoli,D,6.639543214132272,0.0,0.0
pedro pereira,G21,Monza,D,6.607693377818447,0.0,0.0
gian marco ferrari,G21,Sassuolo,D,6.584827075654534,0.0,0.0486
diego coppola,G21,Verona,D,6.583032480590638,0.0,0.0486
mattia bani,G21,Genoa,D,6.548788962495147,0.0396,0.0652
gabriele zappa,G21,Cagliari,D,6.522191801664897,0.0396,0.0652
jeremy toljan,G21,Sassuolo,D,6.520620198439282,0.0,0.0
ruan tressoldi,G21,Sassuolo,D,6.502189011163993,0.0,0.0
pol lirola,G21,Frosinone,D,6.493775590402681,0.0396,0.0652
rasmus kristensen,G21,Roma,D,6.474366201095471,0.0396,0.0652
lorenzo pirola,G21,Salernitana,D,6.442527228193719,0.0,0.0
juan cabal,G21,Verona,D,6.364828627726462,0.0,0.0
nadir zortea,G21,Frosinone,D,6.350066139079727,0.0264,0.0652
patrick dorgu,G21,Lecce,D,6.347285600533715,0.0,0.0486
liberato cacace,G21,Empoli,D,6.343392399849546,0.0,0.0
charalambos lykogiannis,G21,Bologna,D,6.339405603763447,0.0,0.0486
marcus holmgren pedersen,G21,Sassuolo,D,6.129507286303051,0.0,0.0
pasquale mazzocchi,G21,Napoli,D,6.125828168443989,0.0,0.0
mateusz wieteska,G21,Cagliari,D,6.115944900108951,0.0,0.0
hans hateboer,G21,Atalanta,D,6.068035780713746,0.0,0.0
alessandro vogliacco,G21,Genoa,D,5.9390049184846925,0.0,0.0
filippo terracciano,G21,AC Milan,D,5.935084064325161,0.0,0.0
marco davide faraoni,G21,Verona,D,5.908289065024308,0.0,0.0
norbert gyomber,G21,Salernitana,D,5.880740505347071,0.0,0.0
luca pellegrini,G21,Lazio,D,5.765148508763369,0.0396,0.0794
aaron caricol,G21,Genoa,D,5.60883295609056,0.0,0.0
paulo azzi,G21,Cagliari,D,5.589455014838396,0.0,0.0
festy ebosele,G21,Udinese,D,5.552815314853555,0.0,0.0
jordan zemura,G21,Udinese,D,5.511032956814196,0.0,0.0486
josh doig,G21,Sassuolo,D,5.493828332522123,0.0,0.0
alessandro zanoli,G21,Salernitana,D,5.317493567321279,0.0,0.0
kingsley ehizibue,G21,Udinese,D,5.274571731267931,0.0,0.0
emil holm,G21,Atalanta,D,5.2456772126018665,0.1109,0.0939
stefano sabelli,G21,Genoa,D,5.213741826917952,0.0,0.0
giuseppe pezzella,G21,Empoli,D,4.995789291985225,0.0,0.0
yann aurel bisseck,G21,Inter,D,1.2174509156110744,0.0396,0.088
lorenzo de silvestri,G21,Bologna,D,0.9947941171410276,0.0879,0.0961
brandon soppy,G21,Torino,D,0.9466169151328888,0.0,0.0
alessandro dellavalle,G21,Torino,D,0.9388043958883258,0.0,0.0
david zima,G21,Torino,D,0.9388043958883258,0.0,0.0
wilfried singo,G21,Torino,D,0.9388043958883258,0.0,0.0
brian bayeye,G21,Torino,D,0.9388043958883258,0.0,0.0
perr schuurs,G21,Torino,D,0.914064751613876,0.0396,0.0652
koffi djidji,G21,Torino,D,0.8893251073394265,0.0,0.0
adama soumaoro,G21,Bologna,D,0.8867209342579054,0.0,0.0
mihajlo ilic,G21,Bologna,D,0.8867209342579054,0.0,0.0
daniele rugani,G21,Juventus,D,0.8867209342579054,0.0396,0.0652
alex sandro,G21,Juventus,D,0.8828146746356241,0.0,0.0486
tommaso corazza,G21,Bologna,D,0.8710958957687793,0.0,0.0
saba sazonov,G21,Torino,D,0.8541687707388927,0.0,0.0
mattia de sciglio,G21,Juventus,D,0.8346374726274851,0.0,0.0
tiago djalo,G21,Juventus,D,0.8346374726274851,0.0,0.0
mitchel bakker,G21,Atalanta,D,0.76953314558946,0.0,0.0486
giovanni bonfanti,G21,Atalanta,D,0.7317726359074052,0.0,0.0
jose luis palomino,G21,Atalanta,D,0.7304705493666446,0.0,0.0
jan-carlo simic,G21,AC Milan,D,0.6861996069807874,0.0396,0.0966
giulio donati,G21,Monza,D,0.6861996069807874,0.0,0.0
dimitrije kamenovic,G21,Lazio,D,0.6783870877362242,0.0,0.0
rick karsdorp,G21,Roma,D,0.6666683088693798,0.0,0.0
matteo gabbia,G21,AC Milan,D,0.6653662223286194,0.0,0.0486
pierre kalulu,G21,AC Milan,D,0.6367203184318881,0.0,0.0
mattia caldara,G21,AC Milan,D,0.6289077991873252,0.0,0.0
valentin antov,G21,Monza,D,0.626303626105804,0.0,0.0
mario sampirisi,G21,Monza,D,0.626303626105804,0.0,0.0
clinton nsiala-makengo,G21,AC Milan,D,0.626303626105804,0.0,0.0
davide bartesaghi,G21,AC Milan,D,0.626303626105804,0.0,0.0
armando anastasio,G21,Monza,D,0.626303626105804,0.0,0.0
davide bettella,G21,Monza,D,0.626303626105804,0.0,0.0
alejandro jimenez,G21,AC Milan,D,0.6197931934020015,0.0,0.0
rafael toloi,G21,Atalanta,D,0.5937514625867915,0.0,0.0
chris smalling,G21,Roma,D,0.5768243375569049,0.0,0.0
lovro golic,G21,Roma,D,0.5742201644753837,0.0,0.0
mehmet zeki celik,G21,Roma,D,0.5716159913938628,0.0,0.0
angelino,G21,Roma,D,0.5638034721492998,0.0,0.0
tyronne ebuehi,G21,Empoli,D,0.5442721740378921,0.0,0.0
riccardo marchizza,G21,Frosinone,D,0.5234387893857239,0.0,0.0
dean huijsen,G21,Roma,D,0.520834616304203,0.0,0.0486
ridgeciano haps,G21,Genoa,D,0.4817720200813876,0.0,0.0
davide biraschi,G21,Genoa,D,0.4713553277553036,0.0264,0.0652
luca marianucci,G21,Empoli,D,0.4700532412145431,0.0,0.0
petar stojanovic,G21,Empoli,D,0.4700532412145431,0.0,0.0
saba goglichidze,G21,Empoli,D,0.4700532412145431,0.0,0.0
antonio tikvic,G21,Udinese,D,0.4700532412145431,0.0,0.0
axel guessand,G21,Udinese,D,0.4700532412145431,0.0,0.0
james abankwah,G21,Udinese,D,0.4700532412145431,0.0,0.0
gabriele guarino,G21,Empoli,D,0.4700532412145431,0.0,0.0
enzo ebosse,G21,Udinese,D,0.4700532412145431,0.0,0.0
samuel john nwachukwu,G21,Udinese,D,0.4700532412145431,0.0,0.0
dodo,G21,Fiorentina,D,0.4492198565623751,0.0,0.0
ruben vinagre,G21,Verona,D,0.4427094238585724,0.0,0.0
fabien centonze,G21,Verona,D,0.4388031642362908,0.0,0.0
alan matturro,G21,Genoa,D,0.4192718661248834,0.0,0.0
nicolo calabrese,G21,Verona,D,0.4179697795841228,0.0,0.0
denis cazzadori,G21,Verona,D,0.4179697795841228,0.0,0.0
silvan hefti,G21,Genoa,D,0.4179697795841228,0.0,0.0
federico ceccherini,G21,Verona,D,0.4179697795841228,0.0,0.0
christian dalle mura,G21,Fiorentina,D,0.4179697795841228,0.0,0.0
christian corradi,G21,Verona,D,0.4179697795841228,0.0,0.0
djed spence,G21,Genoa,D,0.4075530872580387,0.0,0.0
christian kabasele,G21,Udinese,D,0.3971363949319547,0.0396,0.0652
giorgio cittadini,G21,Genoa,D,0.3919280487689127,0.0,0.0
pietro comuzzo,G21,Fiorentina,D,0.3919280487689127,0.0,0.0
bruno amione,G21,Verona,D,0.372396750657505,0.0,0.0
kastriot dermaku,G21,Lecce,D,0.3658863179537025,0.0,0.0
mats lemmens,G21,Lecce,D,0.3658863179537025,0.0,0.0
zinedin smajlovic,G21,Lecce,D,0.3658863179537025,0.0,0.0
lautaro gianetti,G21,Udinese,D,0.3606779717906606,0.0,0.0486
ahmed touba,G21,Lecce,D,0.3398445871384924,0.0,0.0
lorenzo venuti,G21,Lecce,D,0.3320320678939293,0.0,0.0
emanuele valeri,G21,Frosinone,D,0.3307299813531688,0.0,0.0
kevin bonifazi,G21,Frosinone,D,0.3164070294048032,0.0,0.0
sergio kalaj,G21,Frosinone,D,0.3138028563232822,0.0,0.0
przemyslaw szyminski,G21,Frosinone,D,0.3138028563232822,0.0,0.0
anthony oyono,G21,Frosinone,D,0.2838548658857905,0.0,0.0
mateus lusuardi,G21,Frosinone,D,0.2630214812336224,0.0,0.0
elio capradossi,G21,Cagliari,D,0.261719394692862,0.0,0.0
giorgio altare,G21,Cagliari,D,0.261719394692862,0.0,0.0
natan,G21,Napoli,D,0.2617193946928619,0.0,0.0
adam obert,G21,Cagliari,D,0.2539068754482989,0.0,0.0
pantelis hatzidiakos,G21,Cagliari,D,0.2317714042553702,0.0,0.0
alessandro di pardo,G21,Cagliari,D,0.2304693177146098,0.0,0.0
yerry mina,G21,Cagliari,D,0.2291672311738492,0.0,0.0486
matias vina,G21,Sassuolo,D,0.2018234138178786,0.0,0.0
gerardo fusco,G21,Salernitana,D,0.1888025484102735,0.0,0.0
edoardo goldaniga,G21,Cagliari,D,0.1744795964619079,0.0,0.0
filippo missori,G21,Sassuolo,D,0.1718754233803869,0.0,0.0
kevin miranda,G21,Sassuolo,D,0.1575524714320214,0.0,0.0
mattia viti,G21,Sassuolo,D,0.1341149136983322,0.0,0.0486
jerome boateng,G21,Salernitana,D,0.1119794425054036,0.0,0.0
konstantinos manolas,G21,Salernitana,D,0.1093752694238826,0.0,0.0
dylan bronn,G21,Salernitana,D,0.1054690098016011,0.0,0.0
emanuele elia,G21,Salernitana,D,0.1054690098016011,0.0,0.0
marash kumbulla,G21,Sassuolo,D,0.1054690098016011,0.0,0.0
flavius daniliuc,G21,Salernitana,D,0.0664064135787858,0.0,0.0
marco pellegrino,G21,Salernitana,D,0.0559897212527018,0.0,0.0
triantafyllos pasalidis,G21,Salernitana,D,0.0351563366005336,0.0,0.0
niccolo pierozzi,G21,Salernitana,D,0.0065104327038025,0.0,0.0486
federico fazio,G21,Salernitana,D,0.0,0.0396,0.088
alessandro bastoni,G22,Inter,D,10.0,0.0,0.0486
riccardo calafiori,G22,Bologna,D,9.86333894871479,0.0,0.0486
francesco acerbi,G22,Inter,D,9.84008919094826,0.0378,0.0643
jhon lucumi,G22,Bologna,D,9.72241772662444,0.0,0.0
amir rrahmani,G22,Napoli,D,9.582109297425967,0.2637,0.1316
giovanni di lorenzo,G22,Napoli,D,9.479550247988536,0.0378,0.0643
gleison bremer,G22,Juventus,D,9.422335055170183,0.1758,0.1088
raoul bellanova,G22,Torino,D,9.29246589541238,0.0,0.0486
benjamin pavard,G22,Inter,D,9.161980795419009,0.0,0.0
danilo,G22,Juventus,D,9.037308864594127,0.0378,0.0643
federico dimarco,G22,Inter,D,9.02296243447714,0.2146,0.1404
stefan de vrij,G22,Inter,D,8.925405224846113,0.0,0.0486
carlos augusto,G22,Inter,D,8.892410542266768,0.0,0.0
andrea cambiaso,G22,Juventus,D,8.790382683221633,0.0378,0.0643
pablo mari,G22,Monza,D,8.778438869281295,0.0,0.0
theo hernandez,G22,AC Milan,D,8.617644532326231,0.1386,0.1101
sam beukema,G22,Bologna,D,8.608735646061627,0.0,0.0486
alessio romagnoli,G22,Lazio,D,8.571252914841601,0.0,0.0
diego llorente,G22,Roma,D,8.54083732812151,0.0,0.0486
berat djimsiti,G22,Atalanta,D,8.511483157677478,0.0,0.0
gianluca mancini,G22,Roma,D,8.507971483578835,0.0837,0.0801
fikayo tomori,G22,AC Milan,D,8.49199394259696,0.1386,0.1273
ricardo rodriguez,G22,Torino,D,8.475810136385581,0.0,0.0486
stefan posch,G22,Bologna,D,8.350961345151035,0.0,0.0486
marin pongracic,G22,Lecce,D,8.323678824851514,0.0,0.0
armando izzo,G22,Monza,D,8.306744275643984,0.0,0.0
adam marusic,G22,Lazio,D,8.253466333630493,0.0,0.0486
patric,G22,Lazio,D,8.192105518088058,0.0378,0.0871
victor kristiansen,G22,Bologna,D,8.183824831470309,0.0,0.0
nicolo casale,G22,Lazio,D,8.158382669627143,0.0,0.0
lucas martinez quarta,G22,Fiorentina,D,8.154400264593122,0.1109,0.0959
sebastiano luperto,G22,Empoli,D,8.13698629118237,0.0,0.0486
federico gatti,G22,Juventus,D,8.095254772896249,0.1109,0.0959
mario gila,G22,Lazio,D,8.083206081342139,0.0,0.0
alessandro buongiorno,G22,Torino,D,8.048149317558359,0.1386,0.1251
luca caldirola,G22,Monza,D,8.040071088899527,0.0378,0.0643
evan n'dicka,G22,Roma,D,7.998016955194764,0.0,0.0
giorgio scalvini,G22,Atalanta,D,7.94651731312706,0.0,0.0486
matteo darmian,G22,Inter,D,7.926289056061991,0.1109,0.0931
juan jesus,G22,Napoli,D,7.896534639952048,0.0,0.0486
alessandro florenzi,G22,AC Milan,D,7.843373746127305,0.0,0.0486
malick thiaw,G22,AC Milan,D,7.783791103621634,0.0,0.0
luca ranieri,G22,Fiorentina,D,7.760450326706265,0.0378,0.0871
alberto dossena,G22,Cagliari,D,7.719904341717335,0.0628,0.0801
nehuen perez,G22,Udinese,D,7.698919529223019,0.0837,0.0801
federico baschirotto,G22,Lecce,D,7.677065440708275,0.0,0.0
nikola milenkovic,G22,Fiorentina,D,7.646326908606096,0.0,0.0
cristiano biraghi,G22,Fiorentina,D,7.6193473962816975,0.0252,0.0643
isak hien,G22,Atalanta,D,7.594731336010501,0.0,0.0
davide calabria,G22,AC Milan,D,7.580463754467372,0.0,0.0
danilo d'ambrosio,G22,Monza,D,7.561162631244754,0.0,0.0
sebastian walukiewicz,G22,Empoli,D,7.558641888152695,0.0,0.0
valentino lazaro,G22,Torino,D,7.532585258218588,0.0,0.0
leo stigard,G22,Napoli,D,7.53023009332436,0.0,0.0
sead kolasinac,G22,Atalanta,D,7.524615117971723,0.0378,0.0643
andrea carboni,G22,Monza,D,7.4922497391477085,0.0,0.0486
denzel dumfries,G22,Inter,D,7.454375645893141,0.0837,0.0801
mathias olivera,G22,Napoli,D,7.444070785795101,0.0,0.0486
michael kayode,G22,Fiorentina,D,7.440304494130499,0.0,0.0486
mergim vojvoda,G22,Torino,D,7.430012109189082,0.0,0.0
samuele birindelli,G22,Monza,D,7.428967495667219,0.0,0.0
matteo ruggeri,G22,Atalanta,D,7.3791469233828995,0.0,0.0
pawel dawidowicz,G22,Verona,D,7.352442397522099,0.0,0.0
memeh caleb okoli,G22,Frosinone,D,7.312237226705216,0.0,0.0
ardian ismajli,G22,Empoli,D,7.281676608357567,0.0,0.0
koni de winter,G22,Genoa,D,7.265257347842184,0.0,0.0
elseid hysaj,G22,Lazio,D,7.241908296458741,0.0,0.0
johan vasquez,G22,Genoa,D,7.198020340112135,0.0,0.0486
thomas kristensen,G22,Udinese,D,7.168827623322794,0.0,0.0
simon kjr,G22,AC Milan,D,7.151062264218666,0.0,0.0
giangiacomo magnani,G22,Verona,D,7.1264186773811256,0.0,0.0
matteo lovato,G22,Torino,D,7.10320062148768,0.0,0.0
jaka bijol,G22,Udinese,D,7.025523494026534,0.0,0.0
antonino gallo,G22,Lecce,D,6.977015237149951,0.0,0.0
giorgos kyriakopoulos,G22,Monza,D,6.976558669261159,0.0,0.0
fabiano parisi,G22,Fiorentina,D,6.9553786706947465,0.0,0.0
valentin gendrey,G22,Lecce,D,6.937158063555627,0.0378,0.0936
mario rui,G22,Napoli,D,6.932105815486654,0.0,0.0
ilario monterisi,G22,Frosinone,D,6.912791151071648,0.0837,0.0801
simone romagnoli,G22,Frosinone,D,6.898804254207093,0.0378,0.0643
adam masina,G22,Torino,D,6.883690278339764,0.0,0.0
hassane kamara,G22,Udinese,D,6.871374291008642,0.0,0.0486
radu dragusin,G22,Genoa,D,6.867182714528568,0.0837,0.1029
