Player,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta,Etichetta_Tattica
jhon lucumi,Bologna,D,0.972241772662444,0.0,0.0,consigliato,Regista difensivo
amir rrahmani,Napoli,D,0.9582109297425968,0.0599,0.1003,consigliato,Terzino offensivo
giovanni di lorenzo,Napoli,D,0.9479550247988536,0.0213,0.0611,consigliato,Terzino offensivo
gleison bremer,Juventus,D,0.9422335055170185,0.0749,0.1088,consigliato,Leader difensivo
raoul bellanova,Torino,D,0.929246589541238,0.0213,0.0611,consigliato,Terzino offensivo
benjamin pavard,Inter,D,0.9161980795419008,0.0,0.0,consigliato,Leader difensivo
danilo,Juventus,D,0.9037308864594128,0.0213,0.0611,consigliato,Leader difensivo
federico dimarco,Inter,D,0.902296243447714,0.1433,0.1111,consigliato,Terzino offensivo
stefan de vrij,Inter,D,0.8925405224846112,0.0213,0.0611,consigliato,Leader difensivo
carlos augusto,Inter,D,0.8892410542266769,0.0,0.0,non consigliato,Terzino offensivo
andrea cambiaso,Juventus,D,0.8790382683221634,0.0463,0.0736,consigliato,Terzino offensivo
pablo mari,Monza,D,0.8778438869281295,0.0,0.0,non consigliato,Leader difensivo
theo hernandez,AC Milan,D,0.8617644532326232,0.1433,0.1111,consigliato,Terzino offensivo
sam beukema,Bologna,D,0.8608735646061627,0.0213,0.0611,consigliato,Regista difensivo
alessio romagnoli,Lazio,D,0.8571252914841601,0.0,0.0,non consigliato,Leader difensivo
diego llorente,Roma,D,0.854083732812151,0.0213,0.0611,consigliato,Regista difensivo
berat djimsiti,Atalanta,D,0.8511483157677479,0.0,0.0,non consigliato,Leader difensivo
gianluca mancini,Roma,D,0.8507971483578836,0.1073,0.0986,consigliato,Regista difensivo
fikayo tomori,AC Milan,D,0.8491993942596959,0.1073,0.0986,consigliato,Regista difensivo
ricardo rodriguez,Torino,D,0.8475810136385581,0.0213,0.0753,consigliato,Libero
stefan posch,Bologna,D,0.8350961345151034,0.0213,0.0903,consigliato,Libero
marin pongracic,Lecce,D,0.8323678824851515,0.0,0.0,non consigliato,Leader difensivo
armando izzo,Monza,D,0.8306744275643985,0.0,0.0,non consigliato,Leader difensivo
adam marusic,Lazio,D,0.8253466333630494,0.0213,0.0611,non consigliato,Libero
patric,Lazio,D,0.8192105518088058,0.0463,0.1028,consigliato,Regista difensivo
victor kristiansen,Bologna,D,0.8183824831470309,0.0,0.0,non consigliato,Libero
nicolo casale,Lazio,D,0.8158382669627142,0.0,0.0,non consigliato,Regista difensivo
lucas martinez quarta,Fiorentina,D,0.8154400264593121,0.1229,0.1425,consigliato,Terzino offensivo
sebastiano luperto,Empoli,D,0.8136986291182369,0.0213,0.0611,non consigliato,Leader difensivo
federico gatti,Juventus,D,0.8095254772896249,0.0894,0.0986,consigliato,Terzino offensivo
mario gila,Lazio,D,0.8083206081342139,0.0,0.0,non consigliato,Regista difensivo
alessandro buongiorno,Torino,D,0.8048149317558358,0.0749,0.0861,consigliato,Leader difensivo
luca caldirola,Monza,D,0.8040071088899527,0.0213,0.0611,non consigliato,Regista difensivo
evan n'dicka,Roma,D,0.7998016955194764,0.0,0.0,non consigliato,Regista difensivo
giorgio scalvini,Atalanta,D,0.7946517313127061,0.0213,0.0611,non consigliato,Leader difensivo
matteo darmian,Inter,D,0.7926289056061991,0.0463,0.0736,non consigliato,Regista difensivo
juan jesus,Napoli,D,0.7896534639952048,0.0213,0.0611,non consigliato,Regista difensivo
alessandro florenzi,AC Milan,D,0.7843373746127306,0.0213,0.0838,non consigliato,Terzino offensivo
malick thiaw,AC Milan,D,0.7783791103621633,0.0,0.0,non consigliato,Regista difensivo
luca ranieri,Fiorentina,D,0.7760450326706265,0.0463,0.0736,non consigliato,Leader difensivo
alberto dossena,Cagliari,D,0.7719904341717335,0.0347,0.0736,non consigliato,Leader difensivo
nehuen perez,Udinese,D,0.769891952922302,0.0463,0.0736,non consigliato,Leader difensivo
federico baschirotto,Lecce,D,0.7677065440708275,0.0,0.0,non consigliato,Regista difensivo
nikola milenkovic,Fiorentina,D,0.7646326908606096,0.0,0.0,non consigliato,Regista difensivo
cristiano biraghi,Fiorentina,D,0.7619347396281697,0.0347,0.0878,consigliato,Terzino offensivo
isak hien,Atalanta,D,0.7594731336010501,0.0,0.0,non consigliato,Leader difensivo
davide calabria,AC Milan,D,0.7580463754467373,0.0,0.0,non consigliato,Terzino offensivo
danilo d'ambrosio,Monza,D,0.7561162631244753,0.0,0.0,non consigliato,Leader difensivo
sebastian walukiewicz,Empoli,D,0.7558641888152695,0.0,0.0,non consigliato,Leader difensivo
valentino lazaro,Torino,D,0.7532585258218588,0.0,0.0,non consigliato,Libero
leo stigard,Napoli,D,0.753023009332436,0.0,0.0,non consigliato,Regista difensivo
sead kolasinac,Atalanta,D,0.7524615117971722,0.0213,0.0611,non consigliato,Libero
andrea carboni,Monza,D,0.7492249739147708,0.0213,0.0611,non consigliato,Leader difensivo
denzel dumfries,Inter,D,0.7454375645893141,0.1073,0.1128,consigliato,Terzino offensivo
mathias olivera,Napoli,D,0.74440707857951,0.0213,0.0925,non consigliato,Libero
michael kayode,Fiorentina,D,0.74403044941305,0.0213,0.0611,non consigliato,Libero
mergim vojvoda,Torino,D,0.7430012109189083,0.0,0.0,non consigliato,Libero
samuele birindelli,Monza,D,0.7428967495667219,0.0,0.0,non consigliato,Libero
matteo ruggeri,Atalanta,D,0.73791469233829,0.0,0.0,non consigliato,Libero
pawel dawidowicz,Verona,D,0.7352442397522099,0.0,0.0,non consigliato,Leader difensivo
memeh caleb okoli,Frosinone,D,0.7312237226705216,0.0,0.0,non consigliato,Leader difensivo
ardian ismajli,Empoli,D,0.7281676608357567,0.0,0.0,non consigliato,Leader difensivo
koni de winter,Genoa,D,0.7265257347842183,0.0,0.0,non consigliato,Regista difensivo
elseid hysaj,Lazio,D,0.7241908296458741,0.0,0.0,non consigliato,Leader difensivo
johan vasquez,Genoa,D,0.7198020340112136,0.0213,0.0611,non consigliato,Leader difensivo
thomas kristensen,Udinese,D,0.7168827623322793,0.0,0.0,non consigliato,Leader difensivo
simon kjr,AC Milan,D,0.7151062264218666,0.0,0.0,non consigliato,Leader difensivo
giangiacomo magnani,Verona,D,0.7126418677381126,0.0,0.0,non consigliato,Leader difensivo
matteo lovato,Torino,D,0.710320062148768,0.0,0.0,non consigliato,Leader difensivo
jaka bijol,Udinese,D,0.7025523494026534,0.0,0.0,non consigliato,Leader difensivo
antonino gallo,Lecce,D,0.697701523714995,0.0,0.0,non consigliato,Libero
giorgos kyriakopoulos,Monza,D,0.6976558669261159,0.0,0.0,non consigliato,Libero
fabiano parisi,Fiorentina,D,0.6955378670694746,0.0,0.0,non consigliato,Libero
valentin gendrey,Lecce,D,0.6937158063555626,0.0463,0.0736,non consigliato,Libero
mario rui,Napoli,D,0.6932105815486654,0.0,0.0,non consigliato,Libero
ilario monterisi,Frosinone,D,0.6912791151071648,0.0463,0.0736,non consigliato,Regista difensivo
simone romagnoli,Frosinone,D,0.6898804254207093,0.0213,0.0611,non consigliato,Regista difensivo
