Giocatore,Giornata,Prob_Gol
gaetano oristanio,G4,0.0
riccardo orsolini,G4,0.0
victor osimhen,G4,0.2218
remi oudin,G4,0.0
leandro paredes,G4,0.0
mario pasalic,G4,0.0
patric,G4,0.0
leonardo pavoletti,G4,0.0
martin payero,G4,0.0
pedro rodriguez,G4,0.0
pietro pellegri,G4,0.0
roberto pereyra,G4,0.0
nehuen perez,G4,0.0
matteo pessina,G4,0.0
andrea petagna,G4,0.0
roberto piccoli,G4,0.0
niccolo pierozzi,G4,0.0
andrea pinamonti,G4,0.1109
matteo politano,G4,0.1109
stefan posch,G4,0.0
matteo prati,G4,0.0
christian pulisic,G4,0.1758
rasmus kristensen,G4,0.0
adrien rabiot,G4,0.1109
uros racic,G4,0.0
nemanja radonjicc,G4,0.1109
rafael leao,G4,0.1109
hamza rafia,G4,0.1664
ylber ramadani,G4,0.0
giacomo raspadori,G4,0.0
tijjani reijnders,G4,0.0
reinier,G4,0.0
renato sanches,G4,0.0
mateo retegui,G4,0.1664
samuele ricci,G4,0.0
ricardo rodriguez,G4,0.0
simone romagnoli,G4,0.0
daniele rugani,G4,0.0
simone bastoni,G4,0.0
alexis saelemaekers,G4,0.0
lazar samardzic,G4,0.1664
junior sambia,G4,0.0
antonio sanabria,G4,0.0
alexis sanchez,G4,0.0
nicola sansone,G4,0.0
zanos savva,G4,0.0
giorgio scalvini,G4,0.0
gianluca scamacca,G4,0.1758
perr schuurs,G4,0.1664
eldor shomurodov,G4,0.0
giovanni simeone,G4,0.0
jan-carlo simic,G4,0.0
simy,G4,0.0
riccardo sottil,G4,0.0
matias soule,G4,0.0
leonardo spinazzola,G4,0.1109
gabriel strefezza,G4,0.1109
isaac success,G4,0.0
ibrahim sulemana,G4,0.0
tomas suslov,G4,0.0
karol swiderski,G4,0.0
loum tchaouna,G4,0.0
florian thauvin,G4,0.0
morten thorsby,G4,0.0
kristian thorstvedt,G4,0.0
marcus thuram,G4,0.1109
fikayo tomori,G4,0.0
el bilal toure,G4,0.0
chaka traore,G4,0.0
valentin carboni,G4,0.0
johan vasquez,G4,0.0
matias vecino,G4,0.0
nicolas viola,G4,0.0
mattia viti,G4,0.0
vitor oliveira,G4,0.0
dusan vlahovic,G4,0.1758
nikola vlasic,G4,0.0
cristian volpato,G4,0.0
walace,G4,0.0
shon weissman,G4,0.0
kenan yildiz,G4,0.0
mattia zaccagni,G4,0.0
duvan zapata,G4,0.1664
gabriele zappa,G4,0.0
davide zappacosta,G4,0.0
oier zarraga,G4,0.0
jordan zemura,G4,0.0
piotr zielinski,G4,0.1109
joshua zirkzee,G4,0.1109
nadir zortea,G4,0.1109
szymon zurkowski,G4,0.0
leo ostigard,G4,0.0
federico gatti,G5,0.0
alessandro bastoni,G5,0.0
andrea carboni,G5,0.0
tammy abraham,G5,0.0
francesco acerbi,G5,0.0
yacine adli,G5,0.0
alex sandro,G5,0.0
pontus almqvist,G5,0.1109
amir rrahmani,G5,0.0
houssem aouar,G5,0.1664
marko arnautovic,G5,0.0
arthur,G5,0.0
kristjan asllani,G5,0.0
tommaso augello,G5,0.0
sardar azmoun,G5,0.0
milan badelj,G5,0.0
jaime baez,G5,0.0
nedim bajrami,G5,0.0
mitchel bakker,G5,0.0
tommaso baldanzi,G5,0.0
lameck banda,G5,0.0
mattia bani,G5,0.1109
antonin barak,G5,0.0
nicolo barella,G5,0.0
raoul bellanova,G5,0.0
andrea belotti,G5,0.1758
lucas beltran,G5,0.0
ismael bennacer,G5,0.0
domenico berardi,G5,0.2637
sam beukema,G5,0.0
cristiano biraghi,G5,0.1109
davide biraschi,G5,0.1109
yann aurel bisseck,G5,0.0
giacomo bonaventura,G5,0.1758
federico bonazzoli,G5,0.1109
warren bondo,G5,0.0
josip brekalo,G5,0.0
gleison bremer,G5,0.0
marco brescianini,G5,0.0
tajon buchanan,G5,0.0
alessandro buongiorno,G5,0.1109
jovane cabral,G5,0.0
riccardo calafiori,G5,0.0
luca caldirola,G5,0.0
hakan calhanoglu,G5,0.2637
nicolo cambiaghi,G5,0.0
andrea cambiaso,G5,0.0
matteo cancellieri,G5,0.0
antonio candreva,G5,0.1758
francesco caputo,G5,0.0
valentin castellanos,G5,0.0
santiago castro,G5,0.0
gaetano castrovilli,G5,0.0
danilo cataldi,G5,0.0
leonardo cerri,G5,0.0
walid cheddira,G5,0.1109
federico chiesa,G5,0.3327
samuel chukwueze,G5,0.0
lorenzo colombo,G5,0.0
