Giocatore,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta
pablo mari,Monza,D,0.8778438869281295,0.0,0.0,non consigliato
theo hernandez,AC Milan,D,0.8617644532326232,0.1433,0.1111,consigliato
sam beukema,Bologna,D,0.8608735646061627,0.0213,0.0611,consigliato
alessio romagnoli,Lazio,D,0.8571252914841601,0.0,0.0,non consigliato
diego llorente,Roma,D,0.854083732812151,0.0213,0.0611,non consigliato
berat djimsiti,Atalanta,D,0.8511483157677479,0.0,0.0,non consigliato
gianluca mancini,Roma,D,0.8507971483578836,0.1073,0.0986,consigliato
fikayo tomori,AC Milan,D,0.8491993942596959,0.1073,0.0986,consigliato
ricardo rodriguez,Torino,D,0.8475810136385581,0.0213,0.0753,consigliato
stefan posch,Bologna,D,0.8350961345151034,0.0213,0.0903,consigliato
marin pongracic,Lecce,D,0.8323678824851515,0.0,0.0,non consigliato
armando izzo,Monza,D,0.8306744275643985,0.0,0.0,non consigliato
adam marusic,Lazio,D,0.8253466333630494,0.0213,0.0611,non consigliato
patric,Lazio,D,0.8192105518088058,0.0463,0.1028,consigliato
victor kristiansen,Bologna,D,0.8183824831470309,0.0,0.0,non consigliato
nicolo casale,Lazio,D,0.8158382669627142,0.0,0.0,non consigliato
lucas martinez quarta,Fiorentina,D,0.8154400264593121,0.1229,0.1425,consigliato
sebastiano luperto,Empoli,D,0.8136986291182369,0.0213,0.0611,non consigliato
federico gatti,Juventus,D,0.8095254772896249,0.0894,0.0986,consigliato
mario gila,Lazio,D,0.8083206081342139,0.0,0.0,non consigliato
alessandro buongiorno,Torino,D,0.8048149317558358,0.0749,0.0861,consigliato
luca caldirola,Monza,D,0.8040071088899527,0.0213,0.0611,non consigliato
evan n'dicka,Roma,D,0.7998016955194764,0.0,0.0,non consigliato
giorgio scalvini,Atalanta,D,0.7946517313127061,0.0213,0.0611,non consigliato
matteo darmian,Inter,D,0.7926289056061991,0.0463,0.0736,non consigliato
juan jesus,Napoli,D,0.7896534639952048,0.0213,0.0611,non consigliato
alessandro florenzi,AC Milan,D,0.7843373746127306,0.0213,0.0838,non consigliato
malick thiaw,AC Milan,D,0.7783791103621633,0.0,0.0,non consigliato
luca ranieri,Fiorentina,D,0.7760450326706265,0.0463,0.0736,non consigliato
alberto dossena,Cagliari,D,0.7719904341717335,0.0347,0.0736,non consigliato
nehuen perez,Udinese,D,0.769891952922302,0.0463,0.0736,non consigliato
federico baschirotto,Lecce,D,0.7677065440708275,0.0,0.0,non consigliato
nikola milenkovic,Fiorentina,D,0.7646326908606096,0.0,0.0,non consigliato
cristiano biraghi,Fiorentina,D,0.7619347396281697,0.0347,0.0878,consigliato
isak hien,Atalanta,D,0.7594731336010501,0.0,0.0,non consigliato
davide calabria,AC Milan,D,0.7580463754467373,0.0,0.0,non consigliato
danilo d'ambrosio,Monza,D,0.7561162631244753,0.0,0.0,non consigliato
sebastian walukiewicz,Empoli,D,0.7558641888152695,0.0,0.0,non consigliato
valentino lazaro,Torino,D,0.7532585258218588,0.0,0.0,non consigliato
leo stigard,Napoli,D,0.753023009332436,0.0,0.0,non consigliato
sead kolasinac,Atalanta,D,0.7524615117971722,0.0213,0.0611,non consigliato
andrea carboni,Monza,D,0.7492249739147708,0.0213,0.0611,non consigliato
denzel dumfries,Inter,D,0.7454375645893141,0.1073,0.1128,consigliato
mathias olivera,Napoli,D,0.74440707857951,0.0213,0.0925,non consigliato
michael kayode,Fiorentina,D,0.74403044941305,0.0213,0.0611,non consigliato
mergim vojvoda,Torino,D,0.7430012109189083,0.0,0.0,non consigliato
samuele birindelli,Monza,D,0.7428967495667219,0.0,0.0,non consigliato
matteo ruggeri,Atalanta,D,0.73791469233829,0.0,0.0,non consigliato
pawel dawidowicz,Verona,D,0.7352442397522099,0.0,0.0,non consigliato
memeh caleb okoli,Frosinone,D,0.7312237226705216,0.0,0.0,non consigliato
ardian ismajli,Empoli,D,0.7281676608357567,0.0,0.0,non consigliato
koni de winter,Genoa,D,0.7265257347842183,0.0,0.0,non consigliato
elseid hysaj,Lazio,D,0.7241908296458741,0.0,0.0,non consigliato
johan vasquez,Genoa,D,0.7198020340112136,0.0213,0.0611,non consigliato
thomas kristensen,Udinese,D,0.7168827623322793,0.0,0.0,non consigliato
simon kjr,AC Milan,D,0.7151062264218666,0.0,0.0,non consigliato
giangiacomo magnani,Verona,D,0.7126418677381126,0.0,0.0,non consigliato
matteo lovato,Torino,D,0.710320062148768,0.0,0.0,non consigliato
jaka bijol,Udinese,D,0.7025523494026534,0.0,0.0,non consigliato
antonino gallo,Lecce,D,0.697701523714995,0.0,0.0,non consigliato
giorgos kyriakopoulos,Monza,D,0.6976558669261159,0.0,0.0,non consigliato
fabiano parisi,Fiorentina,D,0.6955378670694746,0.0,0.0,non consigliato
valentin gendrey,Lecce,D,0.6937158063555626,0.0463,0.0736,non consigliato
